date,code,event_ret_pct,streak,locked,vol_ratio,gap_next_pct,fwd1_pct,fwd2_pct,fwd3_pct,fwd5_pct,fwd10_pct,fwd20_pct,close_px,shares,mktcap_e8,industry,market,cap_bucket,price_bucket,in_disposal
2015-02-05,6240,-14.15384615384616,1,True,0.9795758436596953,,,,-6.989247311827951,,,,55.8,22867370,12.75999246,資訊服務業,otc,D_小型(<50億),C_50-100元,False
2015-03-12,4907,-10.526315789473683,1,True,6.632032718028075,2.941176470588247,2.941176470588247,,-0.7352941176470562,,,1.8382352941176405,13.6,118145778,16.067825808,建材營造,otc,D_小型(<50億),A_<20元,False
2015-04-28,5205,-15.531914893617015,1,True,3.9482218900702217,-6.801007556675065,-6.801007556675065,-13.09823677581865,-19.143576826196472,,-14.609571788413112,,19.85,13500000,2.6797500000000003,綠能環保,otc,D_小型(<50億),A_<20元,False
2015-05-04,5364,-10.769230769230765,1,True,3.380989180834621,-6.896551724137934,-6.896551724137934,,-19.363395225464195,-24.801061007957557,-25.72944297082229,,75.4,63849940,48.14285476,觀光餐旅,otc,D_小型(<50億),C_50-100元,False
2015-05-07,5205,-13.043478260869556,1,True,0.703395642463995,6.923076923076921,6.923076923076921,14.230769230769225,21.923076923076913,21.923076923076913,,-8.461538461538453,13.0,13500000,1.755,綠能環保,otc,D_小型(<50億),A_<20元,True
2015-05-07,5364,-13.390313390313402,1,True,3.9026293965559296,-6.907894736842102,-6.907894736842102,-6.743421052631571,-9.53947368421052,-7.894736842105255,,-3.7828947368421018,60.8,63849940,38.82076352,觀光餐旅,otc,D_小型(<50億),C_50-100元,False
2015-05-14,4930,-14.122681883024235,1,False,0.8460408576731433,0.0,-1.4950166112956853,-8.30564784053156,-8.4717607973422,-13.621262458471762,-8.9700996677741,-17.94019933554818,30.1,80000000,24.08,電器電纜,sii,D_小型(<50億),B_20-50元,False
2015-05-19,3492,-11.910669975186094,1,True,,0.28169014084507005,1.6901408450704203,-2.8169014084507005,-2.5352112676056304,-6.478873239436611,-4.225352112676061,-4.225352112676061,17.75,35531600,6.306859,電子零組件業,otc,D_小型(<50億),A_<20元,False
2015-05-22,4419,-9.797297297297302,1,True,0.6446102525260664,,,-0.12484394506866447,,6.866416978776546,9.612983770287142,-6.367041198501866,8.01,169163133,13.549966953299998,觀光餐旅,otc,D_小型(<50億),A_<20元,False
2015-05-22,5205,-13.569321533923295,1,True,0.2827232532022335,,,,,,-25.597269624573382,-31.80887372013652,14.65,13500000,1.97775,綠能環保,otc,D_小型(<50億),A_<20元,False
2015-05-27,6242,-21.53589315525877,1,True,,,,,,,,,47.0,31806500,14.949055,生技醫療業,otc,D_小型(<50億),B_20-50元,False
2015-06-01,3085,-9.787234042553195,1,True,0.8377478343979579,-10.000000000000009,-10.000000000000009,-18.962264150943398,-26.98113207547169,-19.43396226415095,-27.9245283018868,-30.75471698113208,10.6,69019288,7.316044528,數位雲端,otc,D_小型(<50億),A_<20元,False
2015-06-01,5245,-9.599999999999998,1,True,,-0.8849557522124019,-0.6637168141592986,0.6637168141592875,0.8849557522123908,-0.22123893805310324,-8.517699115044252,2.212389380530966,45.2,45127141,20.397467732,光電業,otc,D_小型(<50億),B_20-50元,False
2015-06-01,5455,-9.717868338557988,1,True,1.1509535879004447,0.0,4.166666666666674,7.638888888888884,,-14.930555555555557,-8.333333333333337,-1.041666666666674,14.4,65501813,9.432261072000001,建材營造,otc,D_小型(<50億),A_<20元,True
2015-06-01,9906,-10.000000000000009,1,True,3.377928516976145,-6.368563685636863,-7.859078590785906,-12.059620596205956,-14.22764227642277,-25.47425474254742,-29.40379403794038,-30.89430894308943,36.9,90376358,33.348876102,建材營造,sii,D_小型(<50億),B_20-50元,False
2015-06-02,3052,-9.999999999999998,1,True,4.000184907105444,0.0,1.1904761904761862,0.7936507936507908,-0.3968253968253843,-0.7936507936507908,-4.761904761904756,-1.1904761904761973,12.6,233245771,29.388967146,建材營造,sii,D_小型(<50億),A_<20元,False
2015-06-02,3085,-10.000000000000009,2,True,0.2820643348452877,-9.958071278825987,-9.958071278825987,-18.867924528301884,-10.796645702306073,-19.39203354297693,-21.90775681341718,-21.90775681341718,9.54,69019288,6.5844400752,數位雲端,otc,D_小型(<50億),A_<20元,False
2015-06-02,3095,-9.876543209876543,1,True,0.7533006215955591,-9.86301369863014,-9.86301369863014,-16.712328767123296,-13.698630136986301,-23.28767123287672,-35.342465753424655,-30.136986301369863,18.25,10000000,1.825,通信網路業,otc,D_小型(<50億),A_<20元,False
2015-06-02,5205,-9.897610921501709,1,True,0.20573591737645558,,,-9.84848484848484,-17.42424242424242,-24.99999999999999,-38.25757575757576,,13.2,13500000,1.782,綠能環保,otc,D_小型(<50億),A_<20元,False
2015-06-03,2388,-9.936305732484074,1,True,2.777440748822827,-6.647807637906656,4.667609618104662,4.667609618104662,-5.374823196605371,-11.456859971711463,-27.86421499292787,-28.99575671852901,7.07,555935941,39.30467102870001,半導體業,sii,D_小型(<50億),A_<20元,False
2015-06-03,3085,-9.958071278825987,3,True,0.3127268476100627,-9.89522700814901,-9.89522700814901,-0.93131548311991,-0.5820721769499548,-18.393480791618167,-14.901047729918515,-10.360884749708966,8.59,69019288,5.928756839199999,數位雲端,otc,D_小型(<50億),A_<20元,False
2015-06-03,3095,-9.86301369863014,2,True,3.088123206144159,-0.9118541033434568,-7.598784194528873,-4.255319148936165,-11.854103343465038,-23.404255319148938,-28.267477203647406,-24.620060790273545,16.45,10000000,1.645,通信網路業,otc,D_小型(<50億),A_<20元,False
2015-06-03,3406,-9.887359198998757,1,True,2.3611339560712485,-2.6388888888889017,-0.694444444444442,-6.805555555555564,-14.583333333333337,-13.33333333333333,-10.69444444444445,-1.8055555555555491,72.0,112743063,81.17500536,光電業,sii,C_中小型(50-100億),C_50-100元,False
2015-06-03,3666,-9.9009900990099,1,True,2.817618611706791,-1.831501831501836,-8.058608058608051,-11.35531135531136,-13.369963369963378,-17.948717948717952,-8.424908424908429,1.831501831501825,27.3,138949850,37.93330905,光電業,otc,D_小型(<50億),B_20-50元,False
2015-06-03,4549,-9.999999999999998,1,True,3.912387674952975,-2.6666666666666616,1.777777777777767,5.777777777777771,8.000000000000007,4.0000000000000036,6.222222222222218,10.222222222222221,112.5,57002445,64.127750625,電機機械,otc,C_中小型(50-100億),D_100-200元,False
2015-06-03,6104,-9.825673534072909,1,True,2.8500420258267245,-0.7029876977152849,-5.448154657293502,-6.151142355008787,-9.841827768014067,-13.532513181019324,-17.574692442882245,-5.096660808435849,56.9,91127107,51.851323883,半導體業,otc,C_中小型(50-100億),C_50-100元,False
