date,code,event_ret_pct,streak,locked,vol_ratio,gap_next_pct,fwd1_pct,fwd2_pct,fwd3_pct,fwd5_pct,fwd10_pct,fwd20_pct,close_px,shares,mktcap_e8,industry,market,cap_bucket,price_bucket,in_disposal
2015-01-06,6240,209.88372093023258,1,True,19.476678043230944,0.0,-0.7504690431519689,6.1913696060037715,13.508442776735464,18.198874296435275,,,53.3,22867370,12.18830821,資訊服務業,otc,D_小型(<50億),C_50-100元,False
2015-01-07,5455,450.76142131979697,1,True,0.34007891974079574,-6.912442396313367,-6.912442396313367,-13.364055299539167,-18.894009216589858,-17.972350230414737,-16.129032258064512,-1.8433179723502224,10.85,65501813,7.1069467105,建材營造,otc,D_小型(<50億),A_<20元,False
2015-01-23,3040,37.93103448275863,1,False,4.255706188381674,0.0,2.0454545454545503,6.363636363636349,5.454545454545445,3.5227272727272663,2.2727272727272707,4.318181818181821,44.0,66224538,29.13879672,其他,sii,D_小型(<50億),B_20-50元,False
2015-01-30,4131,17.587939698492463,1,False,1.3992311812412015,-0.8547008547008517,0.0,0.0,-3.4188034188034067,-3.4188034188034067,-3.4188034188034067,17.0940170940171,11.7,39790000,4.65543,生技醫療業,otc,D_小型(<50億),A_<20元,False
2015-02-10,8111,35.674676524953775,1,True,1.5557825743829876,4.223433242506824,0.4087193460490468,-2.3160762942779245,-3.9509536784741117,-4.63215258855586,-2.8610354223433276,-5.449591280653943,7.34,109102223,8.0081031682,光電業,otc,D_小型(<50億),A_<20元,False
2015-03-03,6248,10.39426523297491,1,True,0.7405541561712846,-6.818181818181824,-6.818181818181824,-12.337662337662337,,-6.818181818181824,-12.337662337662337,3.5714285714285587,30.8,99956149,30.786493892000003,鋼鐵工業,otc,D_小型(<50億),B_20-50元,False
2015-03-13,3465,64.10788381742738,1,False,1.8153555491325404,0.0,-1.1378002528445008,4.298356510745882,4.298356510745882,19.21618204804045,22.629582806573943,30.21491782553729,7.91,35329862,2.7945920842,其他電子業,otc,D_小型(<50億),A_<20元,False
2015-03-20,6103,136.90205011389526,1,True,0.18981475426274463,6.730769230769229,6.730769230769229,13.942307692307686,21.634615384615373,21.153846153846146,-15.096153846153848,-19.23076923076923,10.4,13604891,1.4149086640000001,半導體業,otc,D_小型(<50億),A_<20元,False
2015-03-24,8341,9.841827768014056,1,False,,-0.8000000000000007,-4.959999999999997,0.6399999999999961,-0.6399999999999961,4.800000000000004,11.519999999999996,32.800000000000004,62.5,130000000,81.25,綠能環保,sii,C_中小型(50-100億),C_50-100元,False
2015-03-27,4419,55.345911949685544,1,False,1.277139208173691,0.0,0.13495276653170407,7.017543859649122,0.5398110661268607,1.3495276653171295,18.218623481781382,,7.41,169163133,12.534988155299999,觀光餐旅,otc,D_小型(<50億),A_<20元,False
2015-04-02,8431,12.909090909090914,1,True,,1.449275362318847,-1.1272141706924366,-0.6441223832528209,6.2801932367149815,14.814814814814813,1.449275362318847,33.01127214170692,62.1,48778331,30.291343551,其他電子業,otc,D_小型(<50億),C_50-100元,False
2015-04-10,9929,59.64912280701753,1,True,0.15907293769811937,-4.761904761904767,-6.959706959706969,-6.227106227106227,-11.35531135531136,-9.523809523809524,-10.989010989010984,-4.395604395604391,13.65,101280000,13.82472,其他,sii,D_小型(<50億),A_<20元,False
2015-04-16,2434,42.247510668563294,1,True,1.604680798229093,6.999999999999984,6.999999999999984,14.000000000000012,15.999999999999993,10.000000000000009,18.999999999999993,2.499999999999991,10.0,37000000,3.7,半導體業,sii,D_小型(<50億),A_<20元,False
2015-04-28,4304,52.702702702702695,1,False,1.9630343866171005,-2.654867256637161,-3.834808259587008,-7.079646017699115,-9.734513274336276,-11.504424778761058,-9.43952802359882,-9.734513274336276,16.95,61038065,10.3459520175,塑膠工業,otc,D_小型(<50億),A_<20元,False
2015-05-07,8437,11.82108626198084,1,True,,-2.857142857142858,-2.857142857142858,-2.857142857142858,-5.428571428571427,-11.428571428571432,-17.428571428571427,-19.999999999999996,175.0,47014070,82.2746225,其他,otc,C_中小型(50-100億),D_100-200元,False
2015-05-08,4413,256.19834710743805,1,True,1.8580041943376444,-0.46403712296984034,0.0,6.960556844547572,14.38515081206495,22.2737819025522,,17.401392111368907,21.55,31314689,6.7483154795,紡織纖維,otc,D_小型(<50億),B_20-50元,False
2015-05-26,5245,15.247524752475261,1,False,,-3.7800687285223455,-6.529209621993138,-10.65292096219932,-14.089347079037806,-22.852233676975953,-30.240549828178697,-25.257731958762886,58.2,45127141,26.263996062000004,光電業,otc,D_小型(<50億),C_50-100元,False
2015-06-01,1452,9.898107714701588,1,True,2.07699204027374,-0.6622516556291425,-2.516556291390737,-6.754966887417213,-7.284768211920534,-6.622516556291391,-0.3973509933774766,-5.827814569536427,37.75,132641400,50.0721285,紡織纖維,sii,C_中小型(50-100億),B_20-50元,False
2015-06-01,1467,9.848484848484862,1,True,3.4218365427998925,-0.6896551724137945,-1.7241379310344862,0.6896551724137945,6.5517241379310365,4.827586206896539,7.931034482758625,-6.551724137931025,14.5,233624667,33.875576715,紡織纖維,sii,D_小型(<50億),A_<20元,False
2015-06-01,1539,9.941520467836252,1,True,1.6863490162264783,-0.7978723404255428,-1.5957446808510634,-6.25,-10.63829787234043,-0.26595744680851796,15.42553191489362,7.71276595744681,37.6,65370000,24.57912,電機機械,sii,D_小型(<50億),B_20-50元,False
2015-06-01,1732,9.836065573770503,1,True,4.573450458252033,4.477611940298498,9.850746268656717,20.597014925373138,21.492537313432834,0.8955223880596996,-0.29850746268657025,-19.402985074626866,16.75,42443957,7.1093627975,化學工業,sii,D_小型(<50億),A_<20元,False
2015-06-01,2342,9.93975903614459,1,True,1.4064977115767512,3.561643835616435,-1.3698630136986245,-4.657534246575345,-3.013698630136985,-15.342465753424662,-17.808219178082187,-14.24657534246575,3.65,157474744,5.747828156000001,半導體業,sii,D_小型(<50億),A_<20元,False
