event_id,ticker,ex_date,offset,cum_ret,mkt_ret,abnormal
8097_2008-01-10,8097,2008-01-10,-30,-0.15254237288135597,0.039655172413793016,-0.19219754529514899
8097_2008-01-10,8097,2008-01-10,-29,-0.1228813559322035,0.057758620689655205,-0.1806399766218587
8097_2008-01-10,8097,2008-01-10,-28,-0.10593220338983045,0.06551724137931036,-0.1714494447691408
8097_2008-01-10,8097,2008-01-10,-27,-0.10169491525423735,0.06810344827586201,-0.16979836353009936
8097_2008-01-10,8097,2008-01-10,-26,-0.1271186440677966,0.07844827586206882,-0.20556691992986542
8097_2008-01-10,8097,2008-01-10,-25,-0.0805084745762713,0.0818965517241379,-0.1624050263004092
8097_2008-01-10,8097,2008-01-10,-24,-0.11016949152542377,0.08275862068965512,-0.19292811221507888
8097_2008-01-10,8097,2008-01-10,-23,-0.11016949152542377,0.09310344827586214,-0.2032729398012859
8097_2008-01-10,8097,2008-01-10,-22,-0.08898305084745772,0.06896551724137923,-0.15794856808883695
8097_2008-01-10,8097,2008-01-10,-21,-0.10593220338983045,0.07499999999999996,-0.1809322033898304
8097_2008-01-10,8097,2008-01-10,-20,-0.10593220338983045,0.056034482758620774,-0.16196668614845122
8097_2008-01-10,8097,2008-01-10,-19,-0.10169491525423735,0.012068965517241459,-0.11376388077147881
8097_2008-01-10,8097,2008-01-10,-18,-0.14830508474576265,0.006896551724137945,-0.1552016364699006
8097_2008-01-10,8097,2008-01-10,-17,-0.14830508474576265,-0.022413793103448265,-0.12589129164231438
8097_2008-01-10,8097,2008-01-10,-16,-0.08898305084745772,-0.018965517241379293,-0.07001753360607843
8097_2008-01-10,8097,2008-01-10,-15,-0.025423728813559365,0.008620689655172376,-0.03404441846873174
8097_2008-01-10,8097,2008-01-10,-14,0.04237288135593209,-0.008620689655172376,0.050993571011104466
8097_2008-01-10,8097,2008-01-10,-13,0.03813559322033888,0.012931034482758674,0.025204558737580207
8097_2008-01-10,8097,2008-01-10,-12,0.06779661016949134,0.01982758620689662,0.047969023962594726
8097_2008-01-10,8097,2008-01-10,-11,0.025423728813559254,0.02758620689655178,-0.002162478082992525
8097_2008-01-10,8097,2008-01-10,-10,0.0,0.028448275862068995,-0.028448275862068995
8097_2008-01-10,8097,2008-01-10,-9,0.06779661016949134,0.050000000000000044,0.0177966101694913
8097_2008-01-10,8097,2008-01-10,-8,0.13983050847457612,0.051724137931034475,0.08810637054354165
8097_2008-01-10,8097,2008-01-10,-7,0.1694915254237288,0.059482758620689635,0.11000876680303917
8097_2008-01-10,8097,2008-01-10,-6,0.11440677966101687,0.036206896551724155,0.07819988310929271
8097_2008-01-10,8097,2008-01-10,-5,0.07627118644067776,0.018965517241379404,0.05730566919929836
8097_2008-01-10,8097,2008-01-10,-4,0.11440677966101687,0.018965517241379404,0.09544126241963746
8097_2008-01-10,8097,2008-01-10,-3,0.03813559322033888,-0.02758620689655178,0.06572180011689066
8097_2008-01-10,8097,2008-01-10,-2,0.03813559322033888,-0.018103448275861966,0.05623904149620085
8097_2008-01-10,8097,2008-01-10,-1,0.0,0.0,0.0
8097_2008-01-10,8097,2008-01-10,0,-0.016949152542372947,-0.0017241379310345417,-0.015225014611338406
8097_2008-01-10,8097,2008-01-10,1,0.05084745762711851,-0.0060344827586207295,0.05688194038573924
8097_2008-01-10,8097,2008-01-10,2,0.008474576271186418,0.01379310344827589,-0.0053185271770894715
8097_2008-01-10,8097,2008-01-10,3,0.0,0.05258620689655169,-0.05258620689655169
8097_2008-01-10,8097,2008-01-10,4,-0.016949152542372947,0.006896551724137945,-0.023845704266510892
8097_2008-01-10,8097,2008-01-10,5,-0.029661016949152685,0.002586206896551646,-0.03224722384570433
8097_2008-01-10,8097,2008-01-10,6,-0.025423728813559365,0.008620689655172376,-0.03404441846873174
8097_2008-01-10,8097,2008-01-10,7,-0.016949152542372947,-0.005172413793103403,-0.011776738749269544
8097_2008-01-10,8097,2008-01-10,8,-0.0847457627118644,-0.07413793103448274,-0.010607831677381663
8097_2008-01-10,8097,2008-01-10,9,-0.13983050847457634,-0.07586206896551717,-0.06396843950905917
8097_2008-01-10,8097,2008-01-10,10,-0.13559322033898313,-0.051724137931034475,-0.08386908240794866
8097_2008-01-10,8097,2008-01-10,11,-0.10169491525423735,-0.02758620689655178,-0.07410870835768557
8097_2008-01-10,8097,2008-01-10,12,-0.09322033898305093,-0.05862068965517242,-0.03459964932787851
8097_2008-01-10,8097,2008-01-10,13,-0.13983050847457634,-0.04999999999999993,-0.08983050847457641
8097_2008-01-10,8097,2008-01-10,14,-0.14830508474576265,-0.05258620689655169,-0.09571887784921096
8097_2008-01-10,8097,2008-01-10,15,-0.1652542372881357,-0.05258620689655169,-0.11266803039158402
8097_2008-01-10,8097,2008-01-10,16,-0.15254237288135597,-0.02758620689655178,-0.12495616598480419
8097_2008-01-10,8097,2008-01-10,17,-0.211864406779661,-0.05258620689655169,-0.15927819988310932
8097_2008-01-10,8097,2008-01-10,18,-0.26694915254237295,-0.05517241379310345,-0.2117767387492695
8097_2008-01-10,8097,2008-01-10,19,-0.23728813559322037,-0.0034482758620689724,-0.2338398597311514
8097_2008-01-10,8097,2008-01-10,20,-0.2601694915254238,-0.012068965517241459,-0.24810052600818233
8097_2008-01-10,8097,2008-01-10,21,-0.23728813559322037,-0.013793103448275779,-0.2234950321449446
8097_2008-01-10,8097,2008-01-10,22,-0.211864406779661,0.0,-0.211864406779661
8097_2008-01-10,8097,2008-01-10,23,-0.23389830508474585,-0.018965517241379293,-0.21493278784336656
8097_2008-01-10,8097,2008-01-10,24,-0.2271186440677967,0.00948275862068959,-0.23660140268848628
8097_2008-01-10,8097,2008-01-10,25,-0.24745762711864405,0.01379310344827589,-0.26125073056691994
8097_2008-01-10,8097,2008-01-10,26,-0.23220338983050848,0.034482758620689724,-0.2666861484511982
8097_2008-01-10,8097,2008-01-10,27,-0.2364406779661018,0.037931034482758585,-0.2743717124488604
8097_2008-01-10,8097,2008-01-10,28,-0.18305084745762712,0.04655172413793118,-0.2296025715955583
