代號,名稱,規模,年份,起始日,出關日,條款,前日漲幅(%),D1跳空(%),符合因子,加強訊號,D1%,D3%,D5%,D8%,策略報酬(%)
3285,微端,小,2026,2026-06-18,2026-07-03,連續3日,1.52,1.07,,,9.64,-2.25,-3.10,5.03,-13.83
5227,立凱-KY,小,2026,2026-06-18,2026-07-03,連續3日,9.92,0.49,,,-2.68,3.90,-13.78,-17.07,-12.26
5468,凱鈺,小,2026,2026-06-18,2026-07-03,連續3日,4.00,2.20,✅,,9.89,32.97,9.89,12.09,11.64
6613,朋億*,中,2026,2026-06-18,2026-07-03,連續3日,-1.53,0.42,,,7.62,3.81,2.68,2.82,-5.99
2243,宏旭-KY,小,2026,2026-06-17,2026-07-02,10日6次,9.90,-3.23,,,4.56,3.56,13.46,18.35,33.05
6187,萬潤,大,2026,2026-06-17,2026-07-02,10日6次,0.88,-2.19,,,1.32,10.53,-7.02,-14.04,-13.34
6241,鑫永洋,小,2026,2026-06-17,2026-07-02,連續3日,-3.51,0.00,,,-1.09,4.00,9.82,4.73,9.57
1714,和桐,中,2026,2026-06-16,2026-07-01,10日6次,9.87,4.19,,,7.49,21.86,6.89,11.08,7.16
4402,郡都開發,小,2026,2026-06-15,2026-06-30,連續3日,-4.65,0.30,,,-2.13,0.61,3.35,-1.22,12.42
4556,旭然,小,2026,2026-06-15,2026-06-30,連續3日,9.87,9.88,,,9.88,9.43,17.37,12.87,-1.45
5345,馥鴻,小,2026,2026-06-15,2026-06-30,連續3日,-6.36,0.00,,,-2.27,-4.83,-3.32,-8.46,-17.82
6127,九豪,小,2026,2026-06-12,2026-06-29,10日6次,2.60,3.16,✅,,-3.92,-3.16,6.84,7.72,10.97
3114,好德,小,2026,2026-06-09,2026-06-24,連續3日,0.11,-3.91,,,-7.49,-10.96,-2.80,6.82,26.61
5426,振發,小,2026,2026-06-09,2026-06-24,連續3日,9.85,3.34,,,9.57,-1.37,8.21,15.20,-2.02
6890,來億-KY,大,2026,2026-06-09,2026-06-24,10日6次,2.89,-0.60,✅,🔒漲停買不到,9.82,13.83,-7.62,-4.61,-12.58
1718,中纖,中,2026,2026-06-08,2026-06-23,10日6次,1.76,-4.87,,,1.52,-9.64,-6.60,-0.61,-7.86
2491,吉祥全,小,2026,2026-06-08,2026-06-23,10日6次,2.06,-9.94,✅,⭐,-9.94,-14.84,-9.80,13.40,32.92
3147,大綜,中,2026,2026-06-08,2026-06-23,連續3日,6.75,-9.84,✅,⭐,0.00,12.48,18.80,15.99,14.23
3149,正達,中,2026,2026-06-08,2026-06-23,10日6次,-0.22,-9.91,,,-4.41,-9.47,-8.59,3.19,8.05
4807,日成-KY,小,2026,2026-06-08,2026-06-23,10日6次,8.91,-8.31,✅,⭐,-10.00,-11.82,6.49,3.90,25.33
6442,光聖,大,2026,2026-06-08,2026-06-23,10日6次,-4.20,-9.98,,,-4.14,-8.03,-9.73,-10.71,0.15
3288,點晶,小,2026,2026-06-05,2026-06-22,連續3日,9.98,9.69,,,-3.30,-3.92,-2.06,-7.84,-2.49
