offset,cum_ret,mkt_ret,abnormal
-30,-0.009401585185141333,0.01451841691252943,-0.023920002097670763
-29,-0.010916377823005904,0.014798076042364947,-0.02571445386537085
-28,-0.011647074979383708,0.015359452224665067,-0.027006527204048777
-27,-0.013113944007208599,0.013475689619887588,-0.02658963362709619
-26,-0.014420556248645518,0.013836830759700467,-0.028257387008345985
-25,-0.014738849581909392,0.014626252561223192,-0.029365102143132586
-24,-0.015437348362312048,0.013385167615527525,-0.028822515977839573
-23,-0.016225805289832345,0.013903310646723755,-0.030129115936556098
-22,-0.016497823606355166,0.013047197323899648,-0.029545020930254812
-21,-0.017616620846825908,0.013500862226128126,-0.031117483072954033
-20,-0.01738781369784237,0.010808469081645395,-0.028196282779487762
-19,-0.01740658258582368,0.01141272386526006,-0.028819306451083746
-18,-0.017014087123887137,0.01089406926429372,-0.02790815638818086
-17,-0.016546117587839033,0.00522910465173513,-0.021775222239574166
-16,-0.016413828823570224,0.005935311702667033,-0.022349140526237255
-15,-0.016367101854762933,0.005437007876927832,-0.021804109731690762
-14,-0.01676530737718718,0.006028556133767471,-0.02279386351095465
-13,-0.014140795489532608,0.005469144106508868,-0.019609939596041476
-12,-0.012823959051164336,0.0018895981984640667,-0.014713557249628403
-11,-0.011886725126639675,-0.0003198732782854943,-0.011566851848354182
-10,-0.010882928707879715,1.4939385287901737e-05,-0.010897868093167618
-9,-0.009350854537896715,0.0009178299243993626,-0.010268684462296078
-8,-0.008770028156122605,0.0018087673282177015,-0.010578795484340308
-7,-0.007621047199735759,0.0009297390487625313,-0.00855078624849829
-6,-0.006979871806854351,0.00011838343020221583,-0.0070982552370565674
-5,-0.004822994860843286,-0.00078458513178564,-0.0040384097290576465
-4,-0.002993613793833226,-0.0002517411785610581,-0.002741872615272168
-3,-0.0012598008265361975,0.00039098326243555074,-0.0016507840889717481
-2,-0.00010348954471214487,-0.0007129998854587456,0.0006095103407466006
-1,0.0,0.0,0.0
0,0.00036507309679418036,0.000605300388780035,-0.00024022729198585458
1,-0.001248275129437612,0.0012135195567243354,-0.002461794686161947
2,-0.0020494253548973755,0.0011704866482632093,-0.0032199120031605848
3,-0.0014512027031705916,0.002154765119321044,-0.0036059678224916354
4,-0.0003655081353511559,0.0028236195946691996,-0.0031891277300203557
5,-0.009598034427219735,0.0030973373306323313,-0.012695371757852066
6,-0.011196856123599377,0.0029682086546656957,-0.014165064778265072
7,-0.013024311280364957,0.0032376239672051166,-0.016261935247570074
8,-0.014395042788233016,0.0035074436114947045,-0.017902486399727722
9,-0.01451966120206896,0.004774794110572063,-0.019294455312641023
10,-0.016697776706886058,0.0048064808294427585,-0.021504257536328814
11,-0.021131764577487437,0.0052677628627859074,-0.026399527440273348
12,-0.023832104386107875,0.005801378854000171,-0.029633483240108047
