pair,branch_i,branch_j,d0,code,d1,period,i_net_amt_wan,i_influence_pct,j_net_amt_wan,j_influence_pct,d1_open,d1_high,d1_close,stop_price,stopped,frozen,short_ret_pct,abs20_excluded,success
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-08-26,3131,2020-08-27,in_sample,1509.3,2.277,1228.5,1.8534,367.0,377.5,363.0,378.28,False,False,1.0899,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-09-07,4171,2020-09-08,in_sample,264.0,1.0868,440.0,1.8113,224.0,229.0,206.0,237.16,False,False,8.0357,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-09-23,6288,2020-09-24,in_sample,546.085,1.1065,9144.175,18.5282,37.15,39.0,39.0,39.494,False,False,-4.9798,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-09-23,9136,2020-09-24,in_sample,83.28,0.5256,433.75,2.7373,17.5,17.7,15.65,18.669,False,False,10.5714,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-11-06,6245,2020-11-09,in_sample,1352.0,2.7443,3792.36,7.6978,69.1,71.5,70.8,72.814,False,False,-2.4602,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-11-19,2038,2020-11-20,in_sample,396.0,3.3602,900.0,7.6368,11.55,12.25,10.85,12.103,True,False,-4.7879,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-11-20,3006,2020-11-23,in_sample,2896.965,1.6563,7011.495,4.0086,48.1,51.3,51.3,50.274,True,False,-4.5198,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-11-23,2239,2020-11-24,in_sample,377.4,1.4318,1020.0,3.8697,104.5,107.0,97.0,109.76,False,False,7.177,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-11-23,3006,2020-11-24,in_sample,3365.28,0.8547,7679.61,1.9505,52.3,53.4,49.7,55.272,False,False,4.9713,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-12-09,3443,2020-12-10,in_sample,3857.25,0.8345,11884.5,2.5711,346.0,350.5,340.5,374.36,False,False,1.5896,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-12-10,5386,2020-12-11,in_sample,372.88,0.3478,448.72,0.4186,58.5,64.9,57.0,68.11,False,False,2.5641,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-12-23,6477,2020-12-24,in_sample,876.2,0.5713,15502.0,10.1072,68.4,74.1,72.6,72.618,True,False,-6.1667,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-12-25,2201,2020-12-28,in_sample,1539.375,1.6805,874.365,0.9545,42.8,44.75,43.5,44.247,True,False,-3.3808,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-12-25,2609,2020-12-28,in_sample,4439.82,1.0691,14876.4,3.5822,24.3,25.4,25.4,24.892,True,False,-2.4362,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2021-01-11,4968,2021-01-12,in_sample,3376.05,1.0582,3851.55,1.2073,486.0,513.0,484.0,512.54,True,False,-5.4609,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2021-01-19,4909,2021-01-20,in_sample,61.48,1.2575,63.6,1.3008,23.3,23.3,23.3,22.834,True,False,2.0,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2021-02-17,6488,2021-02-18,in_sample,4042.6,1.232,10385.3,3.165,712.0,717.0,707.0,750.68,False,False,0.7022,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2021-02-22,3228,2021-02-23,in_sample,1326.2,0.8357,3490.0,2.1991,347.5,380.0,353.5,375.83,True,False,-8.1525,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2021-03-05,6491,2021-03-08,in_sample,1872.7,1.6446,2179.7,1.9142,311.0,334.0,327.0,330.75,True,False,-6.3505,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2021-03-15,3141,2021-03-16,in_sample,891.12,0.9229,1447.28,1.499,64.5,69.5,69.5,68.11,True,False,-5.5969,False,False
