event_id,ticker,ann_date,offset,cum_ret,mkt_ret,abnormal
2849_2007-05-23,2849,2007-05-23,-21,0.040892193308550207,-0.032608695652173836,0.07350088896072404
2849_2007-05-23,2849,2007-05-23,-20,0.040892193308550207,-0.02842809364548493,0.06932028695403514
2849_2007-05-23,2849,2007-05-23,-19,0.028500619578686548,-0.03678929765886285,0.0652899172375494
2849_2007-05-23,2849,2007-05-23,-18,0.028500619578686548,-0.03511705685618716,0.0636176764348737
2849_2007-05-23,2849,2007-05-23,-17,0.019826517967781898,-0.038461538461538436,0.058288056429320334
2849_2007-05-23,2849,2007-05-23,-16,0.028500619578686548,-0.04849498327759194,0.07699560285627849
2849_2007-05-23,2849,2007-05-23,-15,0.06815365551425012,-0.0376254180602007,0.10577907357445082
2849_2007-05-23,2849,2007-05-23,-14,0.053283767038413865,-0.026755852842809236,0.0800396198812231
2849_2007-05-23,2849,2007-05-23,-13,0.06567534076827752,-0.010033444816053394,0.07570878558433092
2849_2007-05-23,2849,2007-05-23,-12,0.06443618339529111,-0.004180602006689016,0.06861678540198013
2849_2007-05-23,2849,2007-05-23,-11,0.06443618339529111,-0.00836120401337792,0.07279738740866903
2849_2007-05-23,2849,2007-05-23,-10,0.05080545229244127,-0.01421404682274241,0.06501949911518368
2849_2007-05-23,2849,2007-05-23,-9,0.04213135068153662,-0.009197324414715657,0.051328675096252274
2849_2007-05-23,2849,2007-05-23,-8,0.029739776951672958,-0.0200668896321069,0.04980666658377986
2849_2007-05-23,2849,2007-05-23,-7,0.023543990086740907,-0.01755852842809358,0.041102518514834485
2849_2007-05-23,2849,2007-05-23,-6,0.0173482032218093,-0.027591973244147083,0.04494017646595638
2849_2007-05-23,2849,2007-05-23,-5,0.0173482032218093,-0.026755852842809236,0.044104056064618535
2849_2007-05-23,2849,2007-05-23,-4,0.027261462205699916,-0.0200668896321069,0.047328351837806815
2849_2007-05-23,2849,2007-05-23,-3,0.024783147459727317,-0.021739130434782594,0.04652227789450991
2849_2007-05-23,2849,2007-05-23,-2,0.0173482032218093,-0.0033444816053510573,0.020692684827160357
2849_2007-05-23,2849,2007-05-23,-1,0.0,0.0,0.0
2849_2007-05-23,2849,2007-05-23,0,0.0037174721189590088,0.004180602006689016,-0.0004631298877300072
2849_2007-05-23,2849,2007-05-23,1,-0.0012391573729862992,0.0050167224080268635,-0.006255879781013163
2849_2007-05-23,2849,2007-05-23,2,-0.00867410161090465,-0.005852842809364489,-0.0028212588015401607
2849_2007-05-23,2849,2007-05-23,3,-0.02726146220570025,-0.0050167224080267525,-0.022244739797673496
2849_2007-05-23,2849,2007-05-23,4,-0.019826517967781898,-0.0016722408026754731,-0.018154277165106425
2849_2007-05-23,2849,2007-05-23,5,-0.0384138785625775,-0.009197324414715657,-0.02921655414786184
2849_2007-05-23,2849,2007-05-23,6,-0.0024783147459727095,-0.0008361204013377366,-0.001642194344634973
2849_2007-05-23,2849,2007-05-23,7,-0.00867410161090465,0.0033444816053511683,-0.012018583216255818
2849_2007-05-23,2849,2007-05-23,8,-0.009913258983890949,0.006688963210702337,-0.016602222194593286
2849_2007-05-23,2849,2007-05-23,9,-0.02106567534076831,0.006688963210702337,-0.027754638551470645
2849_2007-05-23,2849,2007-05-23,10,-0.009913258983890949,0.015886287625418216,-0.025799546609309165
2849_2007-05-23,2849,2007-05-23,11,-0.04337050805452303,0.018394648829431537,-0.061765156883954564
2849_2007-05-23,2849,2007-05-23,12,-0.028500619578686548,0.015050167224080369,-0.043550786802766916
2849_2007-05-23,2849,2007-05-23,13,-0.039653035935563796,0.01755852842809369,-0.057211564363657486
2849_2007-05-23,2849,2007-05-23,14,-0.0384138785625775,0.0234113712374584,-0.0618252498000359
2849_2007-05-23,2849,2007-05-23,15,-0.039653035935563796,0.0234113712374584,-0.0630644071730222
2849_2007-05-23,2849,2007-05-23,16,-0.030978934324659257,0.03678929765886285,-0.06776823198352211
2849_2007-05-23,2849,2007-05-23,17,0.035935563816604565,0.056856187290970084,-0.02092062347436552
2849_2007-05-23,2849,2007-05-23,18,0.10780669144981392,0.09030100334448177,0.01750568810533215
2849_2007-05-23,2849,2007-05-23,19,0.09045848822800506,0.10033444816053505,-0.009875959932529987
2849_2007-05-23,2849,2007-05-23,20,0.07187112763320935,0.09364548494983294,-0.021774357316623583
2849_2007-05-23,2849,2007-05-23,21,0.0631970260223047,0.08612040133779275,-0.022923375315488048
2849_2007-05-23,2849,2007-05-23,22,0.09045848822800506,0.10618729096989976,-0.0157288027418947
2849_2007-05-23,2849,2007-05-23,23,0.09045848822800506,0.09280936454849487,-0.002350876320489803
2849_2007-05-23,2849,2007-05-23,24,0.06939281288723675,0.08695652173913038,-0.017563708851893622
2849_2007-05-23,2849,2007-05-23,25,0.07558859975216836,0.09030100334448177,-0.014712403592313406
2849_2007-05-23,2849,2007-05-23,26,0.045848822800495626,0.08695652173913038,-0.04110769893863475
2849_2007-05-23,2849,2007-05-23,27,0.06815365551425012,0.09698996655518388,-0.02883631104093376
2849_2007-05-23,2849,2007-05-23,28,0.059479553903345694,0.10869565217391308,-0.04921609827056739
2849_2007-05-23,2849,2007-05-23,29,0.059479553903345694,0.11705685618729089,-0.0575773022839452
2849_2007-05-23,2849,2007-05-23,30,0.059479553903345694,0.1229096989966556,-0.06343014509330991
2849_2007-05-23,2849,2007-05-23,31,0.08426270136307301,0.12040133779264228,-0.03613863642956927
2849_2007-05-23,2849,2007-05-23,32,0.10904584882280033,0.1471571906354514,-0.03811134181265108
2849_2007-05-23,2849,2007-05-23,33,0.08426270136307301,0.14799331103678948,-0.06373060967371647
2849_2007-05-23,2849,2007-05-23,34,0.09045848822800506,0.13461538461538458,-0.04415689638737952
2849_2007-05-23,2849,2007-05-23,35,0.10408921933085491,0.1404682274247493,-0.03637900809389438
2849_2007-05-23,2849,2007-05-23,36,0.08550185873605942,0.15050167224080258,-0.06499981350474315
2849_2007-05-23,2849,2007-05-23,37,0.11028500619578696,0.14548494983277593,-0.03519994363698897
2849_2007-05-23,2849,2007-05-23,38,0.18711276332094173,0.1471571906354514,0.039955572685490326
2849_2007-05-23,2849,2007-05-23,39,0.24535315985130124,0.1404682274247493,0.10488493242655195
2849_2007-05-23,2849,2007-05-23,40,0.16480793060718701,0.13963210702341144,0.02517582358377557
2849_2007-05-23,2849,2007-05-23,41,0.20570012391573722,0.15719063545150513,0.04850948846423209
2849_2007-05-23,2849,2007-05-23,42,0.21561338289962828,0.15133779264214042,0.06427559025748786
2849_2007-05-23,2849,2007-05-23,43,0.201982651796778,0.1663879598662208,0.0355946919305572
2849_2007-05-23,2849,2007-05-23,44,0.1821561338289961,0.1663879598662208,0.0157681739627753
2849_2007-05-23,2849,2007-05-23,45,0.11648079306071857,0.14381270903010046,-0.027331915969381892
2849_2007-05-23,2849,2007-05-23,46,0.053283767038413865,0.09615384615384626,-0.04287007911543239
2849_2007-05-23,2849,2007-05-23,47,0.0074349442379182396,0.08193979933110374,-0.0745048550931855
2849_2007-05-23,2849,2007-05-23,48,0.026022304832713727,0.10869565217391308,-0.08267334734119935
2849_2007-05-23,2849,2007-05-23,49,-0.014869888475836479,0.05852842809364556,-0.07339831656948204
2849_2007-05-23,2849,2007-05-23,50,-0.039653035935563796,0.0769230769230771,-0.11657611285864089
2849_2007-05-23,2849,2007-05-23,51,-0.019826517967781898,0.09197324414715724,-0.11179976211493914
2849_2007-05-23,2849,2007-05-23,52,-0.00867410161090465,0.08110367892976611,-0.08977778054067076
2849_2007-05-23,2849,2007-05-23,53,-0.0185873605947956,0.06856187290969906,-0.08714923350449466
2849_2007-05-23,2849,2007-05-23,54,0.004956629491945419,0.09030100334448177,-0.08534437385253635
2849_2007-05-23,2849,2007-05-23,55,-0.009913258983890949,0.09949832775919742,-0.10941158674308837
2849_2007-05-23,2849,2007-05-23,56,-0.04337050805452303,0.07023411371237454,-0.11360462176689756
2849_2007-05-23,2849,2007-05-23,57,-0.058240396530359395,0.06772575250836121,-0.1259661490387206
2849_2007-05-23,2849,2007-05-23,58,-0.058240396530359395,0.07859531772575257,-0.13683571425611196
