ticker,date,gap_pct,day_open,prev_close,morning_high,entry_min,entry_price,stop_price,exit_price,stopped_out,return,vol_to_entry,amt_to_entry,day_vol,avg_vol_20,gap_bucket
1476,2023-01-13,0.03441084462982273,496.0,479.5,501.0,609,495.008,503.50499999999994,495.0,False,1.6161354967962853e-05,496,246489.5,1362,700.375,3-5%
1476,2023-01-30,0.017293997965412006,500.0,491.5,510.0,583,499.0,512.55,499.5,False,-0.001002004008016032,612,307980.0,2679,798.5454545454545,1-2%
1476,2023-03-01,0.005202913631633715,483.0,480.5,485.5,575,482.034,487.92749999999995,482.5,False,-0.0009667367862018202,484,233442.5,1754,843.6,0.5-1%
1476,2023-03-17,0.007743362831858407,455.5,452.0,457.0,571,454.589,459.28499999999997,451.0,False,0.007895043654817866,69,31411.5,1202,960.45,0.5-1%
1476,2023-03-22,0.016411378555798686,464.5,457.0,469.5,573,463.571,471.84749999999997,464.5,False,-0.002004008016032007,349,162686.0,1120,999.05,1-2%
1476,2023-03-29,0.0473186119873817,498.0,475.5,500.0,570,497.004,502.49999999999994,495.0,False,0.004032160706956119,652,321101.0,2036,1019.45,3-5%
1476,2023-05-19,0.013388259526261586,492.0,485.5,495.0,570,491.016,497.47499999999997,493.5,False,-0.0050588982843735855,104,51298.5,484,376.9,1-2%
1476,2023-05-22,0.01120162932790224,496.5,491.0,497.0,570,495.507,499.48499999999996,482.5,False,0.026249881434571066,75,36871.0,520,390.95,1-2%
1476,2023-05-29,0.009698275862068966,468.5,464.0,470.0,570,467.563,472.34999999999997,470.5,False,-0.006281506449398289,58,27143.0,628,489.15,0.5-1%
1476,2023-06-19,0.009127789046653144,497.5,493.0,508.0,585,496.505,510.53999999999996,494.0,False,0.005045266412221419,406,203415.5,1312,866.15,0.5-1%
1476,2023-07-19,0.014,507.0,500.0,508.0,573,505.986,510.53999999999996,510.53999999999996,True,-0.009000249018747502,113,56876.5,870,643.8,1-2%
1476,2023-07-21,0.009596928982725527,526.0,521.0,528.0,570,524.948,530.64,523.0,False,0.0037108437407133263,245,128230.0,924,623.85,0.5-1%
1476,2023-08-02,0.0166358595194085,550.0,541.0,560.0,571,548.9,562.8,532.0,False,0.030788850428128945,149,81327.0,789,688.55,1-2%
1476,2023-08-08,0.0419047619047619,547.0,525.0,552.0,570,545.906,554.76,554.76,True,-0.016218909482584993,549,300613.0,2027,717.05,3-5%
1476,2023-10-18,0.019083969465648856,534.0,524.0,535.0,570,532.932,537.675,530.0,False,0.005501639984088057,296,157307.0,1301,518.2,1-2%
1476,2023-11-01,0.009727626459143969,519.0,514.0,527.0,581,517.962,529.635,524.0,False,-0.011657225819654745,124,64824.0,556,551.85,0.5-1%
1476,2023-11-02,0.009596928982725527,526.0,521.0,528.0,603,524.948,530.64,530.64,True,-0.010842978733131677,112,58930.0,710,545.95,0.5-1%
1476,2023-11-03,0.06902985074626866,573.0,536.0,573.0,570,571.854,575.8649999999999,562.0,False,0.017231671020924995,579,327667.0,1474,555.35,5-10%
1476,2023-11-13,0.010291595197255575,589.0,583.0,596.0,570,587.822,598.9799999999999,581.0,False,0.011605554062284166,369,216692.0,1286,777.0,1-2%
