ticker,date,gap_pct,day_open,morning_high,entry_min,entry_price,stop_price,exit_price,stopped_out,return,amt_to_entry,rank_score
1503,2023-05-12,0.02702702702702703,114.0,116.5,575,116.44175000000001,117.0,117.0,True,-0.004794242614869553,1256572.5,1.1786844227548152
1514,2026-05-26,0.02857142857142857,126.0,128.5,575,128.43575,129.0,127.5,True,0.007285744039334943,750622.0,1.3709063214013755
1514,2026-06-22,0.02066115702479339,123.5,124.0,575,123.938,124.5,124.0,True,-0.000500250125062512,180334.0,4.092466547813986
1560,2025-04-01,0.02088167053364269,220.0,220.5,583,220.38975000000002,221.0,220.0,True,0.0017684579251077723,69082.5,6.3805104408354
2049,2026-01-19,0.02050113895216401,224.0,226.5,576,226.38675,227.0,227.0,True,-0.0027088599487381376,818769.0,1.6858498991500637
2059,2024-07-29,0.022222222222222223,1150.0,1170.0,620,1169.415,1175.0,1175.0,True,-0.004775892219614112,258370.0,1.2083004990806474
2059,2025-08-21,0.024518388791593695,2925.0,2980.0,575,2978.51,2985.0,2960.0,True,0.0062145166543003776,740465.0,1.2380886873614467
2059,2025-09-05,0.02671118530884808,3075.0,3160.0,575,3158.42,3165.0,3165.0,True,-0.002083320141083177,897375.0,0.9325789931843087
2207,2025-05-06,0.024,640.0,650.0,577,649.6750000000001,651.0,646.0,True,0.005656674491091804,132659.0,1.443609022556391
2330,2024-03-07,0.027210884353741496,755.0,767.0,575,766.6165000000001,768.0,765.0,True,0.002108616237714799,20751148.0,1.6106795521030883
2330,2024-07-23,0.025559105431309903,963.0,966.0,575,965.517,967.0,967.0,True,-0.0015359646697053985,16283734.0,6.210804574905905
2330,2025-01-06,0.023255813953488372,1100.0,1105.0,575,1104.4475,1110.0,1105.0,True,-0.0005002501250625395,20213990.0,4.193671368661773
2330,2025-03-05,0.02,1020.0,1030.0,575,1029.4850000000001,1035.0,1030.0,True,-0.0005002501250624075,18774195.0,1.85117967332124
2345,2023-11-15,0.026717557251908396,538.0,554.0,578,553.7230000000001,555.0,552.0,True,0.003111664135316882,1042756.0,0.8691526062115535
2345,2024-07-29,0.021526418786692758,522.0,532.0,588,531.734,533.0,529.0,True,0.005141668578650297,351584.0,1.0679329601457568
2345,2024-09-12,0.021233569261880688,505.0,520.0,583,519.74,521.0,519.0,True,0.0014237888174856834,585841.0,0.6915802952112052
2357,2024-05-22,0.02147239263803681,499.5,511.0,575,510.7445,512.0,510.0,True,0.00145767600042686,2252528.0,0.893825586291043
2368,2023-07-11,0.02258064516129032,158.5,162.0,575,161.919,162.5,161.5,True,0.002587713609891434,1256085.0,0.9782785999902973
2368,2024-03-27,0.024793388429752067,248.0,250.5,575,250.37475,251.0,251.0,True,-0.0024972566123380815,959805.0,2.237540149409952
2368,2024-11-22,0.021220159151193633,192.5,197.5,575,197.40125,198.0,198.0,True,-0.003033162150695578,1206074.5,0.7866886156196
2368,2025-05-02,0.020887728459530026,195.5,199.0,575,198.90050000000002,199.5,199.5,True,-0.003014069848994737,398148.5,1.1050063357700244
2383,2025-08-21,0.02608695652173913,1180.0,1190.0,575,1189.405,1195.0,1185.0,True,0.003703532438488129,1238905.0,2.7533639262658536
2404,2026-05-25,0.025974025974025976,1185.0,1220.0,575,1219.39,1225.0,1225.0,True,-0.004600660986230738,2073120.0,0.8506071791963713
2449,2023-07-03,0.0228070175438596,58.3,59.4,575,59.3703,59.5,59.2,True,0.002868437585796222,424921.8,1.14793155728828
2449,2025-10-27,0.025714285714285714,179.5,184.0,575,183.90800000000002,184.5,184.5,True,-0.003219000804750117,1925995.0,0.9863691175797145
