event_id,ticker,ex_date,shares,sub_price,ref_price,discount_pct,ret_-20d,ret_-10d,ret_-9d,ret_-8d,ret_-7d,ret_-6d,ret_-5d,ret_-4d,ret_-3d,ret_-2d,ret_-1d,ret_+0d,ret_+1d,ret_+2d,ret_+3d,ret_+4d,ret_+5d,ret_+6d,ret_+7d,ret_+8d,ret_+9d,ret_+10d,ret_+20d,ret_+30d,ret_+60d,year
8097_2008-01-10,8097,2008-01-10,15000000.0,10.4,11.8,-0.11864406779661019,-0.10593220338983045,0.0,0.06779661016949134,0.13983050847457612,0.1694915254237288,0.11440677966101687,0.07627118644067776,0.11440677966101687,0.03813559322033888,0.03813559322033888,0.0,-0.016949152542372947,0.05084745762711851,0.008474576271186418,0.0,-0.016949152542372947,-0.029661016949152685,-0.025423728813559365,-0.016949152542372947,-0.0847457627118644,-0.13983050847457634,-0.13559322033898313,-0.2601694915254238,-0.20932203389830517,-0.22033898305084754,2008
4720_2008-01-15,4720,2008-01-15,13000000.0,12.0,13.6,-0.11764705882352944,-0.02573529411764708,0.02205882352941191,0.025735294117646967,0.014705882352941346,0.025735294117646967,-0.02573529411764708,-0.018382352941176516,-0.014705882352941124,-0.007352941176470562,0.003676470588235281,0.0,-0.007352941176470562,-0.03676470588235292,-0.02573529411764708,-0.011029411764705954,-0.02573529411764708,-0.051470588235294046,-0.09558823529411753,-0.09191176470588236,-0.09191176470588236,-0.10661764705882348,-0.10294117647058831,-0.08823529411764697,0.007352941176470562,0.02941176470588247,2008
5015_2008-01-17,5015,2008-01-17,5000000.0,23.0,32.1,-0.28348909657320875,-0.06697819314641751,-0.06542056074766356,-0.034267912772585674,-0.049844236760124616,-0.05919003115264809,-0.034267912772585674,-0.031152647975077885,-0.029595015576324046,-0.04049844236760125,0.009345794392523255,0.0,-0.0031152647975077885,-0.012461059190031265,0.02336448598130847,-0.026479750778816258,-0.028037383177570208,-0.052959501557632516,-0.03738317757009357,-0.049844236760124616,-0.051401869158878566,-0.04828660436137078,-0.05919003115264809,-0.02180685358255463,-0.0031152647975077885,0.014018691588784993,2008
3064_2008-04-11,3064,2008-04-11,6500000.0,93.0,192.5,-0.5168831168831169,-0.3246753246753247,-0.17142857142857137,-0.18441558441558437,-0.17402597402597397,-0.20779220779220775,-0.1662337662337663,-0.1662337662337663,-0.1298701298701299,-0.11688311688311692,-0.06493506493506496,0.0,-0.018181818181818188,0.0025974025974024872,0.01298701298701288,0.0,0.007792207792207684,0.0025974025974024872,-0.0051948051948051965,-0.012987012987012991,-0.023376623376623384,-0.023376623376623384,-0.07012987012987015,-0.22597402597402594,-0.2519480519480519,-0.6025974025974026,2008
8940_2008-06-24,8940,2008-06-24,6400000.0,26.0,36.15,-0.28077455048409405,-0.08713692946058083,-0.04149377593360992,-0.10650069156293229,-0.16874135546334712,-0.16874135546334712,-0.11065006915629327,-0.048409405255878335,-0.019363762102351245,-0.006915629322268302,-0.06500691562932226,0.0,-0.04011065006915615,-0.053941908713692865,-0.02766251728907332,-0.0912863070539418,-0.13969571230982014,-0.18948824343015214,-0.13278008298755184,-0.07330567081604422,-0.1341632088520055,-0.1410788381742738,-0.14937759336099576,-0.23098201936376206,-0.4301521438450898,-0.5214384508990317,2008
8255_2008-07-30,8255,2008-07-30,2500000.0,70.0,94.0,-0.25531914893617025,-0.08191489361702131,0.029787234042553123,-0.03191489361702127,0.008510638297872353,-0.014893617021276673,-0.03191489361702127,-0.02659574468085102,0.03510638297872348,0.05957446808510625,0.023404255319148914,0.0,-0.03191489361702127,-0.04148936170212769,-0.038297872340425476,-0.06170212765957439,-0.11702127659574468,-0.05531914893617029,-0.04680851063829794,-0.019148936170212738,0.0031914893617019935,-0.004255319148936176,0.06382978723404253,0.02659574468085113,-0.11170212765957444,-0.24787234042553186,2008
5483_2008-08-04,5483,2008-08-04,10000000.0,110.0,142.0,-0.22535211267605637,-0.028169014084507005,0.0,0.01760563380281699,0.028169014084507005,0.028169014084507005,0.09859154929577474,0.0880281690140845,0.052816901408450745,0.035211267605633756,0.028169014084507005,0.0,-0.08450704225352113,-0.147887323943662,-0.16901408450704225,-0.11267605633802813,-0.073943661971831,-0.010563380281690127,-0.007042253521126751,0.02464788732394374,0.045774647887323994,-0.007042253521126751,-0.028169014084507005,-0.0035211267605633756,-0.21830985915492962,-0.5330985915492958,2008
8277_2008-08-06,8277,2008-08-06,20000000.0,10.2,10.1,0.00990099009900991,0.12871287128712883,0.00990099009900991,0.05940594059405946,0.12871287128712883,0.09405940594059414,0.05940594059405946,0.06930693069306937,0.08415841584158423,0.024752475247524774,0.01980198019801982,0.0,0.03960396039603964,0.10891089108910879,0.13366336633663356,0.14851485148514842,0.13366336633663356,0.11386138613861396,0.12871287128712883,0.16831683168316847,0.13861386138613874,0.10891089108910879,0.10396039603960405,-0.023762376237623783,-0.3891089108910891,-0.5306930693069307,2008
5521_2008-08-12,5521,2008-08-12,80000000.0,10.0,10.95,-0.08675799086757985,0.09589041095890427,0.04109589041095907,0.022831050228310446,-0.013698630136986134,-0.031963470319634646,-0.031963470319634646,-0.07762557077625565,-0.031963470319634646,-0.0547945205479452,-0.022831050228310557,0.0,-0.09041095890410944,-0.07305936073059349,-0.0547945205479452,-0.08219178082191769,-0.13242009132420085,-0.1552511415525114,-0.17625570776255706,-0.1716894977168949,-0.15981735159817356,-0.15068493150684914,-0.16712328767123286,-0.1625570776255707,-0.23835616438356155,-0.31141552511415516,2008
5706_2008-08-13,5706,2008-08-13,3000000.0,50.0,71.0,-0.295774647887324,0.1704225352112676,-0.021126760563380254,-0.009859154929577452,0.0,-0.0028169014084507005,-0.07183098591549286,-0.11126760563380278,-0.06760563380281681,-0.08169014084507042,-0.018309859154929553,0.0,-0.030985915492957816,0.036619718309859106,0.05633802816901401,0.10704225352112662,0.08028169014084519,0.15492957746478875,0.12676056338028174,0.09859154929577474,0.1535211267605634,0.1591549295774648,0.16901408450704225,0.12394366197183104,0.018309859154929553,-0.32816901408450705,2008
