event_id,ticker,ann_date,offset,cum_ret,mkt_ret,abnormal
2849_2007-05-23,2849,2007-05-23,-30,0.051314142678347885,-0.039036544850498345,0.09035068752884623
2849_2007-05-23,2849,2007-05-23,-29,0.051314142678347885,-0.03488372093023262,0.0861978636085805
2849_2007-05-23,2849,2007-05-23,-28,0.03879849812265346,-0.04318936877076418,0.08198786689341764
2849_2007-05-23,2849,2007-05-23,-27,0.03879849812265346,-0.0415282392026578,0.08032673732531126
2849_2007-05-23,2849,2007-05-23,-26,0.030037546933667114,-0.04485049833887045,0.07488804527253756
2849_2007-05-23,2849,2007-05-23,-25,0.03879849812265346,-0.05481727574750839,0.09361577387016184
2849_2007-05-23,2849,2007-05-23,-24,0.07884856070087598,-0.04401993355481737,0.12286849425569335
2849_2007-05-23,2849,2007-05-23,-23,0.06382978723404253,-0.03322259136212624,0.09705237859616878
2849_2007-05-23,2849,2007-05-23,-22,0.07634543178973718,-0.01661129568106312,0.0929567274708003
2849_2007-05-23,2849,2007-05-23,-21,0.07509386733416767,-0.010797342192691128,0.0858912095268588
2849_2007-05-23,2849,2007-05-23,-20,0.07509386733416767,-0.014950166112956853,0.09004403344712453
2849_2007-05-23,2849,2007-05-23,-19,0.06132665832290374,-0.020764119601328956,0.0820907779242327
2849_2007-05-23,2849,2007-05-23,-18,0.052565707133917394,-0.015780730897010042,0.06834643803092744
2849_2007-05-23,2849,2007-05-23,-17,0.040050062578222745,-0.02657807308970106,0.0666281356679238
2849_2007-05-23,2849,2007-05-23,-16,0.03379224030037542,-0.024086378737541603,0.05787861903791702
2849_2007-05-23,2849,2007-05-23,-15,0.027534418022528317,-0.03405315614617943,0.06158757416870775
2849_2007-05-23,2849,2007-05-23,-14,0.027534418022528317,-0.03322259136212624,0.06075700938465456
2849_2007-05-23,2849,2007-05-23,-13,0.037546933667083726,-0.02657807308970106,0.06412500675678479
2849_2007-05-23,2849,2007-05-23,-12,0.03504380475594493,-0.028239202657807327,0.06328300741375226
2849_2007-05-23,2849,2007-05-23,-11,0.027534418022528317,-0.009966777408637939,0.03750119543116626
2849_2007-05-23,2849,2007-05-23,-10,0.01001251564455563,-0.006644518272425293,0.016657033916980923
2849_2007-05-23,2849,2007-05-23,-9,0.013767209011263937,-0.002491694352159568,0.016258903363423505
2849_2007-05-23,2849,2007-05-23,-8,0.008760951188986343,-0.0016611295681063787,0.010422080757092722
2849_2007-05-23,2849,2007-05-23,-7,0.0012515644555695093,-0.012458471760797396,0.013710036216366905
2849_2007-05-23,2849,2007-05-23,-6,-0.017521902377972576,-0.011627906976744207,-0.005893995401228369
2849_2007-05-23,2849,2007-05-23,-5,-0.010012515644555742,-0.00830564784053156,-0.0017068678040241814
2849_2007-05-23,2849,2007-05-23,-4,-0.028785982478097716,-0.015780730897010042,-0.013005251581087673
2849_2007-05-23,2849,2007-05-23,-3,0.007509386733416834,-0.007475083056478482,0.014984469789895316
2849_2007-05-23,2849,2007-05-23,-2,0.0012515644555695093,-0.0033222591362126463,0.004573823591782156
2849_2007-05-23,2849,2007-05-23,-1,0.0,0.0,0.0
2849_2007-05-23,2849,2007-05-23,0,-0.01126408010012514,0.0,-0.01126408010012514
2849_2007-05-23,2849,2007-05-23,1,0.0,0.009136212624584639,-0.009136212624584639
2849_2007-05-23,2849,2007-05-23,2,-0.03379224030037553,0.011627906976744207,-0.04542014727711974
2849_2007-05-23,2849,2007-05-23,3,-0.018773466833541974,0.008305647840531671,-0.027079114674073645
2849_2007-05-23,2849,2007-05-23,4,-0.030037546933667114,0.010797342192691017,-0.04083488912635813
2849_2007-05-23,2849,2007-05-23,5,-0.028785982478097716,0.01661129568106312,-0.045397278159160837
2849_2007-05-23,2849,2007-05-23,6,-0.030037546933667114,0.01661129568106312,-0.046648842614730235
2849_2007-05-23,2849,2007-05-23,7,-0.021276595744680882,0.029900332225913484,-0.051176927970594366
2849_2007-05-23,2849,2007-05-23,8,0.04630788485607007,0.04983388704318936,-0.0035260021871192926
2849_2007-05-23,2849,2007-05-23,9,0.11889862327909873,0.0830564784053156,0.03584214487378312
2849_2007-05-23,2849,2007-05-23,10,0.10137672090112648,0.09302325581395343,0.008353465087173051
2849_2007-05-23,2849,2007-05-23,11,0.08260325406758451,0.08637873754152836,-0.0037754834739438525
2849_2007-05-23,2849,2007-05-23,12,0.07384230287859816,0.07890365448504988,-0.005061351606451714
2849_2007-05-23,2849,2007-05-23,13,0.10137672090112648,0.09883720930232553,0.0025395115988009476
2849_2007-05-23,2849,2007-05-23,14,0.10137672090112648,0.08554817275747495,0.015828548143651533
2849_2007-05-23,2849,2007-05-23,15,0.08010012515644571,0.07973421926910285,0.00036590588734286555
2849_2007-05-23,2849,2007-05-23,16,0.08635794743429281,0.0830564784053156,0.003301469028977211
2849_2007-05-23,2849,2007-05-23,17,0.0563204005006257,0.07973421926910285,-0.023413818768477146
2849_2007-05-23,2849,2007-05-23,18,0.07884856070087598,0.08970099667774067,-0.010852435976864694
2849_2007-05-23,2849,2007-05-23,19,0.07008760951188986,0.10132890365448488,-0.031241294142595022
2849_2007-05-23,2849,2007-05-23,20,0.07008760951188986,0.10963455149501655,-0.03954694198312669
2849_2007-05-23,2849,2007-05-23,21,0.07008760951188986,0.11544850498338866,-0.0453608954714988
2849_2007-05-23,2849,2007-05-23,22,0.09511889862327916,0.11295681063122909,-0.01783791200794993
2849_2007-05-23,2849,2007-05-23,23,0.12015018773466823,0.13953488372093004,-0.019384695986261802
2849_2007-05-23,2849,2007-05-23,24,0.09511889862327916,0.14036544850498345,-0.04524654988170429
2849_2007-05-23,2849,2007-05-23,25,0.10137672090112648,0.12707641196013264,-0.025699691059006158
2849_2007-05-23,2849,2007-05-23,26,0.11514392991239042,0.13289036544850497,-0.017746435536114546
2849_2007-05-23,2849,2007-05-23,27,0.09637046307884845,0.1428571428571428,-0.04648667977829435
2849_2007-05-23,2849,2007-05-23,28,0.12140175219023797,0.13787375415282388,-0.016472001962585914
2849_2007-05-23,2849,2007-05-23,29,0.19899874843554444,0.13953488372093004,0.0594638647146144
2849_2007-05-23,2849,2007-05-23,30,0.25782227784730916,0.13289036544850497,0.12493191239880419
2849_2007-05-23,2849,2007-05-23,31,0.17647058823529416,0.13205980066445178,0.04441078757084238
2849_2007-05-23,2849,2007-05-23,32,0.2177722152690864,0.1495016611295681,0.06827055413951832
2849_2007-05-23,2849,2007-05-23,33,0.22778473091364204,0.14368770764119576,0.08409702327244628
2849_2007-05-23,2849,2007-05-23,34,0.21401752190237788,0.15863787375415273,0.05537964814822516
2849_2007-05-23,2849,2007-05-23,35,0.1939924906132664,0.15863787375415273,0.035354616859113674
2849_2007-05-23,2849,2007-05-23,36,0.12765957446808507,0.13621262458471772,-0.008553050116632654
2849_2007-05-23,2849,2007-05-23,37,0.06382978723404253,0.0888704318936877,-0.025040644659645173
2849_2007-05-23,2849,2007-05-23,38,0.017521902377972465,0.07475083056478415,-0.05722892818681169
2849_2007-05-23,2849,2007-05-23,39,0.03629536921151422,0.10132890365448488,-0.06503353444297066
2849_2007-05-23,2849,2007-05-23,40,-0.005006257822277815,0.05149501661129552,-0.056501274433573334
2849_2007-05-23,2849,2007-05-23,41,-0.030037546933667114,0.06976744186046524,-0.09980498879413235
2849_2007-05-23,2849,2007-05-23,42,-0.010012515644555742,0.08471760797342176,-0.0947301236179775
2849_2007-05-23,2849,2007-05-23,43,0.0012515644555695093,0.07392026578073096,-0.07266870132516146
2849_2007-05-23,2849,2007-05-23,44,-0.008760951188986232,0.06146179401993357,-0.0702227452089198
2849_2007-05-23,2849,2007-05-23,45,0.015018773466833446,0.0830564784053156,-0.06803770493848216
2849_2007-05-23,2849,2007-05-23,46,0.0,0.09219269102990024,-0.09219269102990024
2849_2007-05-23,2849,2007-05-23,47,-0.03379224030037553,0.06312292358803973,-0.09691516388841526
2849_2007-05-23,2849,2007-05-23,48,-0.04881101376720909,0.06063122923588038,-0.10944224300308947
2849_2007-05-23,2849,2007-05-23,49,-0.04881101376720909,0.0714285714285714,-0.12023958519578049
2849_2007-05-23,2849,2007-05-23,50,-0.020025031289111372,0.03239202657807305,-0.052417057867184425
2849_2007-05-23,2849,2007-05-23,51,-0.08635794743429293,-0.009966777408637939,-0.07639117002565499
2849_2007-05-23,2849,2007-05-23,52,-0.10137672090112648,-0.00913621262458475,-0.09224050827654173
2849_2007-05-23,2849,2007-05-23,53,-0.04630788485607007,0.03571428571428559,-0.08202217057035566
2849_2007-05-23,2849,2007-05-23,54,-0.05506883604505641,0.02574750830564776,-0.08081634435070417
2849_2007-05-23,2849,2007-05-23,55,-0.03254067584480602,0.037375415282391966,-0.06991609112719799
2849_2007-05-23,2849,2007-05-23,56,-0.003754693366708417,0.06312292358803973,-0.06687761695474814
2849_2007-05-23,2849,2007-05-23,57,-0.027534418022528206,0.054817275747508276,-0.08235169377003648
2849_2007-05-23,2849,2007-05-23,58,-0.03379224030037553,0.05980066445182719,-0.09359290475220272
2849_2007-05-23,2849,2007-05-23,59,-0.04630788485607007,0.06063122923588038,-0.10693911409195045
2849_2007-05-23,2849,2007-05-23,60,-0.04630788485607007,0.046511627906976605,-0.09281951276304667
6152_2007-05-23,6152,2007-05-23,-30,-0.02055622732769047,-0.03488372093023262,0.014327493602542152
6152_2007-05-23,6152,2007-05-23,-29,-0.01813784764207982,-0.04318936877076418,0.025051521128684362
6152_2007-05-23,6152,2007-05-23,-28,0.019347037484884977,-0.0415282392026578,0.06087527668754278
6152_2007-05-23,6152,2007-05-23,-27,-0.00846432889963733,-0.04485049833887045,0.03638616943923312
6152_2007-05-23,6152,2007-05-23,-26,-0.048367593712212775,-0.05481727574750839,0.006449682035295612
6152_2007-05-23,6152,2007-05-23,-25,-0.027811366384522307,-0.04401993355481737,0.016208567170295063
6152_2007-05-23,6152,2007-05-23,-24,-0.0290205562273278,-0.03322259136212624,0.004202035134798443
6152_2007-05-23,6152,2007-05-23,-23,-0.021765417170495738,-0.01661129568106312,-0.005154121489432617
6152_2007-05-23,6152,2007-05-23,-22,-0.03748488512696502,-0.010797342192691128,-0.02668754293427389
6152_2007-05-23,6152,2007-05-23,-21,-0.044740024183796856,-0.014950166112956853,-0.029789858070840003
6152_2007-05-23,6152,2007-05-23,-20,-0.056831922611850105,-0.020764119601328956,-0.03606780301052115
6152_2007-05-23,6152,2007-05-23,-19,-0.053204353083434186,-0.015780730897010042,-0.037423622186424144
6152_2007-05-23,6152,2007-05-23,-18,-0.030229746070132957,-0.02657807308970106,-0.003651672980431897
6152_2007-05-23,6152,2007-05-23,-17,-0.044740024183796856,-0.024086378737541603,-0.020653645446255253
6152_2007-05-23,6152,2007-05-23,-16,-0.00846432889963733,-0.03405315614617943,0.0255888272465421
6152_2007-05-23,6152,2007-05-23,-15,-0.027811366384522307,-0.03322259136212624,0.0054112249776039345
6152_2007-05-23,6152,2007-05-23,-14,-0.027811366384522307,-0.02657807308970106,-0.0012332932948212472
6152_2007-05-23,6152,2007-05-23,-13,-0.009673518742442488,-0.028239202657807327,0.01856568391536484
6152_2007-05-23,6152,2007-05-23,-12,0.059250302297460644,-0.009966777408637939,0.06921707970609858
6152_2007-05-23,6152,2007-05-23,-11,0.041112454655380715,-0.006644518272425293,0.04775697292780601
6152_2007-05-23,6152,2007-05-23,-10,0.0036275695284160303,-0.002491694352159568,0.006119263880575598
6152_2007-05-23,6152,2007-05-23,-9,0.0036275695284160303,-0.0016611295681063787,0.005288699096522409
6152_2007-05-23,6152,2007-05-23,-8,0.0036275695284160303,-0.012458471760797396,0.016086041289213426
6152_2007-05-23,6152,2007-05-23,-7,0.010882708585247869,-0.011627906976744207,0.022510615561992076
6152_2007-05-23,6152,2007-05-23,-6,0.0012091898428052694,-0.00830564784053156,0.00951483768333683
6152_2007-05-23,6152,2007-05-23,-5,-0.03264812575574372,-0.015780730897010042,-0.016867394858733675
6152_2007-05-23,6152,2007-05-23,-4,-0.03264812575574372,-0.007475083056478482,-0.025173042699265236
6152_2007-05-23,6152,2007-05-23,-3,-0.03385731559854899,-0.0033222591362126463,-0.03053505646233634
6152_2007-05-23,6152,2007-05-23,-2,0.006045949214026569,0.0,0.006045949214026569
6152_2007-05-23,6152,2007-05-23,-1,0.0,0.0,0.0
6152_2007-05-23,6152,2007-05-23,0,0.0036275695284160303,0.009136212624584639,-0.005508643096168608
6152_2007-05-23,6152,2007-05-23,1,-0.01813784764207982,0.011627906976744207,-0.029765754618824025
6152_2007-05-23,6152,2007-05-23,2,-0.006045949214026569,0.008305647840531671,-0.01435159705455824
6152_2007-05-23,6152,2007-05-23,3,-0.026602176541717037,0.010797342192691017,-0.037399518734408055
6152_2007-05-23,6152,2007-05-23,4,0.0241837968561065,0.01661129568106312,0.007572501175043378
6152_2007-05-23,6152,2007-05-23,5,0.06408706166868194,0.01661129568106312,0.04747576598761882
6152_2007-05-23,6152,2007-05-23,6,0.11245465538089472,0.029900332225913484,0.08255432315498124
6152_2007-05-23,6152,2007-05-23,7,0.1898428053204353,0.04983388704318936,0.14000891827724593
6152_2007-05-23,6152,2007-05-23,8,0.12212817412333732,0.0830564784053156,0.039071695718021715
6152_2007-05-23,6152,2007-05-23,9,0.185006045949214,0.09302325581395343,0.09198279013526056
6152_2007-05-23,6152,2007-05-23,10,0.185006045949214,0.08637873754152836,0.09862730840768563
6152_2007-05-23,6152,2007-05-23,11,0.1946795646916566,0.07890365448504988,0.11577591020660671
6152_2007-05-23,6152,2007-05-23,12,0.19347037484885132,0.09883720930232553,0.09463316554652579
6152_2007-05-23,6152,2007-05-23,13,0.14873035066505436,0.08554817275747495,0.0631821779075794
6152_2007-05-23,6152,2007-05-23,14,0.13663845223700122,0.07973421926910285,0.05690423296789837
6152_2007-05-23,6152,2007-05-23,15,0.18258766626360323,0.0830564784053156,0.09953118785828763
6152_2007-05-23,6152,2007-05-23,16,0.16807738814993933,0.07973421926910285,0.08834316888083649
6152_2007-05-23,6152,2007-05-23,17,0.13663845223700122,0.08970099667774067,0.046937455559260544
6152_2007-05-23,6152,2007-05-23,18,0.14389359129383306,0.10132890365448488,0.042564687639348175
6152_2007-05-23,6152,2007-05-23,19,0.2091898428053205,0.10963455149501655,0.09955529131030394
6152_2007-05-23,6152,2007-05-23,20,0.27206771463119717,0.11544850498338866,0.1566192096478085
6152_2007-05-23,6152,2007-05-23,21,0.2744860943168077,0.11295681063122909,0.16152928368557862
6152_2007-05-23,6152,2007-05-23,22,0.2599758162031438,0.13953488372093004,0.12044093248221377
6152_2007-05-23,6152,2007-05-23,23,0.28174123337363954,0.14036544850498345,0.1413757848686561
6152_2007-05-23,6152,2007-05-23,24,0.2091898428053205,0.12707641196013264,0.08211343084518785
6152_2007-05-23,6152,2007-05-23,25,0.2031438935912937,0.13289036544850497,0.07025352814278873
6152_2007-05-23,6152,2007-05-23,26,0.1704957678355501,0.1428571428571428,0.0276386249784073
6152_2007-05-23,6152,2007-05-23,27,0.15114873035066512,0.13787375415282388,0.013274976197841237
6152_2007-05-23,6152,2007-05-23,28,0.1753325272067714,0.13953488372093004,0.03579764348584136
6152_2007-05-23,6152,2007-05-23,29,0.22128174123337363,0.13289036544850497,0.08839137578486866
6152_2007-05-23,6152,2007-05-23,30,0.30592503022974604,0.13205980066445178,0.17386522956529427
6152_2007-05-23,6152,2007-05-23,31,0.39540507859733975,0.1495016611295681,0.24590341746777167
6152_2007-05-23,6152,2007-05-23,32,0.4316807738814994,0.14368770764119576,0.28799306624030363
6152_2007-05-23,6152,2007-05-23,33,0.38573155985489715,0.15863787375415273,0.22709368610074443
6152_2007-05-23,6152,2007-05-23,34,0.41958887545344625,0.15863787375415273,0.2609510016992935
6152_2007-05-23,6152,2007-05-23,35,0.3325272067714631,0.13621262458471772,0.19631458218674536
6152_2007-05-23,6152,2007-05-23,36,0.2744860943168077,0.0888704318936877,0.18561566242312
6152_2007-05-23,6152,2007-05-23,37,0.25755743651753327,0.07475083056478415,0.1828066059527491
6152_2007-05-23,6152,2007-05-23,38,0.3422007255139057,0.10132890365448488,0.2408718218594208
6152_2007-05-23,6152,2007-05-23,39,0.3784764207980653,0.05149501661129552,0.3269814041867698
6152_2007-05-23,6152,2007-05-23,40,0.33010882708585254,0.06976744186046524,0.2603413852253873
6152_2007-05-23,6152,2007-05-23,41,0.3422007255139057,0.08471760797342176,0.2574831175404839
