anchor,horizon,n,mean_ret,median_ret,win_rate,mean_abn,abn_wr,std_ret,pct25,pct75
公告日,0,1809,0.00036507309679418036,0.0,0.4400221116639027,-0.00024022729198585452,0.45439469320066334,0.027231196834970432,-0.0131421744324971,0.010869565217391353
公告日,10,1806,-0.016697776706886058,-0.02331459528997154,0.34053156146179403,-0.021504257536328814,0.32447397563676633,0.10000390400148645,-0.071582071223905,0.0193185415787252
公告日,1,1809,-0.001248275129437612,-0.003355704697986628,0.42122719734660036,-0.0024617946861619474,0.4262023217247098,0.040170880230362326,-0.020710059171597517,0.015306122448979442
公告日,20,1803,-0.030518210132139373,-0.043165467625899345,0.30227398779811426,-0.03995807569315981,0.2834165280088741,0.12914639126092284,-0.10323814223154254,0.017017872903795195
公告日,2,1808,-0.002049425354897375,-0.003630062982581006,0.43086283185840707,-0.0032199120031605848,0.4231194690265487,0.051015902689819814,-0.027662676488643373,0.01985998802036537
公告日,30,1798,-0.03397969975554364,-0.05754187239810238,0.3186874304783092,-0.046441202596310134,0.2925472747497219,0.16281338935846362,-0.1254600086129272,0.032258064516129004
公告日,3,1808,-0.0014512027031705916,-0.003369455816804534,0.45132743362831856,-0.0036059678224916354,0.44081858407079644,0.059107514063464886,-0.031189123376623468,0.024225825998214046
公告日,4,1808,-0.0003655081353511557,-0.0038835097879528213,0.4430309734513274,-0.0031891277300203557,0.42533185840707965,0.07754306765981975,-0.036890838206627696,0.027266089962451723
公告日,5,1808,-0.009598034427219737,-0.011683746599451927,0.3788716814159292,-0.012695371757852068,0.35232300884955753,0.08034780239654053,-0.04698662992447439,0.018704798320850813
公告日,60,1791,-0.02075134696143068,-0.057851239669421406,0.35845896147403683,-0.0482432416625949,0.32049134561697373,0.23499724667654195,-0.16105466860183842,0.06977281546548131
公告日,6,1807,-0.011196856123599377,-0.015404364569961526,0.36745987825124515,-0.014165064778265074,0.34587714443829554,0.08464178538441515,-0.0534524702726053,0.01801818050645687
公告日,7,1807,-0.013024311280364957,-0.017902813299232823,0.3619258439402324,-0.016261935247570074,0.33259546209186497,0.08588361545397692,-0.059198555080804904,0.01792752701843625
公告日,8,1807,-0.014395042788233014,-0.01904761904761909,0.3420033204205866,-0.017902486399727722,0.3359158826784726,0.08877142682771512,-0.062072004617280574,0.018869603916332967
公告日,9,1807,-0.014519661202068958,-0.02087682672233826,0.3491975650249032,-0.019294455312641023,0.33259546209186497,0.09409943586870782,-0.06651751544304702,0.01803780308312042
公告日,-10,1809,-0.010882928707879715,-0.006702412868632712,0.4367053620784964,-0.010897868093167618,0.48700939745715865,0.08060498816867229,-0.05100830367734277,0.027906976744185963
公告日,-1,1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公告日,-20,1809,-0.01738781369784237,-0.01043841336116913,0.4267551133222775,-0.028196282779487766,0.5107794361525705,0.11064365012385784,-0.07417218543046356,0.03921568627450989
公告日,-2,1809,-0.00010348954471214487,0.0,0.4709784411276949,0.0006095103407466006,0.5279159756771697,0.0268069580205455,-0.011363636363636243,0.012027491408934665
公告日,-3,1809,-0.0012598008265361975,0.0,0.4660033167495854,-0.0016507840889717481,0.5129906025428413,0.038124034098786445,-0.01824401368301032,0.016129032258064502
公告日,-4,1809,-0.002993613793833226,-0.0015948963317384823,0.4538419016030956,-0.002741872615272168,0.5030403537866225,0.04805962531366935,-0.024017467248908186,0.020000000000000018
公告日,-5,1809,-0.004822994860843286,-0.00235017626321965,0.4494195688225539,-0.0040384097290576465,0.4930901050304035,0.05519952360148748,-0.03218884120171672,0.02249488752556239
公告日,-6,1809,-0.006979871806854351,-0.004319654427645703,0.4306246545052515,-0.007098255237056568,0.48756218905472637,0.06274313246392078,-0.0368421052631579,0.022448979591836782
公告日,-7,1809,-0.007621047199735759,-0.004201680672269115,0.4389165284687673,-0.008550786248498289,0.49695964621337757,0.06772441852111687,-0.038724373576309645,0.02352941176470602
公告日,-8,1809,-0.008770028156122604,-0.006451612903225823,0.42786069651741293,-0.010578795484340308,0.49143173023770037,0.0728107238897372,-0.04329004329004327,0.02264150943396226
公告日,-9,1809,-0.009350854537896715,-0.006263048016701411,0.4300718629076838,-0.010268684462296078,0.49364289662797123,0.07649356976224084,-0.04523227383863082,0.026666666666666616
除權日,0,1806,-0.021693343573343828,-0.017135862913096656,0.19878183831672203,-0.022806289463834423,0.20431893687707642,0.03576909947505508,-0.03734439834024905,-0.0017940783964831841
除權日,10,1804,-0.034140744449390456,-0.04109589041095896,0.26053215077605324,-0.03959294551080316,0.25554323725055433,0.09073953310126094,-0.08707670632715006,0.004188495481874721
除權日,1,1806,-0.02348155743949317,-0.019230769230769273,0.2264673311184939,-0.02467642488257033,0.2320044296788483,0.04493975644699618,-0.04493235496445769,0.0
除權日,20,1800,-0.04087329457417236,-0.05519230769230771,0.2738888888888889,-0.048956267800995684,0.25222222222222224,0.1378189540270587,-0.11789576622181319,0.007920792079207928
除權日,2,1806,-0.025223999158023504,-0.021453474323717858,0.2369878183831672,-0.026760801982021996,0.24031007751937986,0.05250944670636488,-0.05317864117586599,0.0
除權日,30,1796,-0.035648145203944735,-0.05425042701353311,0.3051224944320713,-0.048892475236535164,0.26837416481069043,0.16739633577957286,-0.1283667778020129,0.023067983206904563
除權日,3,1806,-0.02640572434185047,-0.02454368844311916,0.2441860465116279,-0.027864712668913397,0.24197120708748615,0.059093342137861216,-0.058189225969198094,0.0
