offset,cum_ret,mkt_ret,abnormal
-30,-0.017743799201945507,0.016167561462555546,-0.03391136066450105
-29,-0.01901183132085199,0.013949608236313952,-0.03296143955716594
-28,-0.02036384923402753,0.014671305772249846,-0.03503515500627738
-27,-0.02006099104072078,0.01541853636967868,-0.03547952741039946
-26,-0.02031080391697602,0.01639854084180839,-0.03670934475878441
-25,-0.01976520456134523,0.01410880675888638,-0.03387401132023161
-24,-0.018972364286011817,0.014901884990579725,-0.03387424927659154
-23,-0.017167526689505292,0.012820235850792231,-0.029987762540297523
-22,-0.015930909060245625,0.0025038008409033314,-0.018434709901148958
-21,-0.015111226458985666,0.0034875314994344034,-0.018598757958420073
-20,-0.014564458045361559,0.004589348406602522,-0.01915380645196408
-19,-0.014487914824362982,0.005404201386686377,-0.019892116211049356
-18,-0.013849713881760336,0.005974644518785967,-0.019824358400546305
-17,-0.012464912959605903,0.003777724404334017,-0.016242637363939917
-16,-0.010840247997516527,0.004683632100460887,-0.015523880097977416
-15,-0.010552254342128187,0.00214356916898324,-0.012695823511111426
-14,-0.008880682839268779,0.0031429101021414117,-0.012023592941410192
-13,-0.00880908683321001,0.0036410520107424175,-0.012450138843952427
-12,-0.007939352467967056,0.004247952276808033,-0.01218730474477509
-11,-0.007224388343654819,0.0021361895162144203,-0.00936057785986924
-10,-0.004374263354127209,0.002947594000471902,-0.007321857354599112
-9,-0.0022922279215065963,0.0036800122116527464,-0.005972240133159343
-8,-0.00017962662476103357,0.0037305276470255932,-0.003910154271786626
-7,0.0020294859865350877,0.004921174368520766,-0.0028916883819856787
-6,0.0038127243370315385,0.005904665965662237,-0.0020919416286306978
-5,0.002881181092726358,0.0013013725598075953,0.0015798085329187623
-4,-0.0007408942268239141,0.0016866307985644636,-0.0024275250253883783
-3,-0.005842576564125957,0.002073310586526787,-0.007915887150652744
-2,-0.004811613787531351,0.0027950219890832766,-0.007606635776614628
-1,0.0,0.0,0.0
0,-0.021693343573343828,0.0011129458904906,-0.022806289463834426
1,-0.02348155743949317,0.001194867443077163,-0.02467642488257033
2,-0.025223999158023508,0.001536802823998489,-0.026760801982021996
3,-0.026405724341850473,0.0014589883270629217,-0.027864712668913393
4,-0.026283517516124146,0.0022629818575487693,-0.02854649937367291
5,-0.026984473619912006,0.002872638590396271,-0.02985711221030828
6,-0.02800388615126091,0.003633982573006427,-0.03163786872426733
7,-0.03028670094228744,0.004270874146112498,-0.03455757508839994
8,-0.032298470218212715,0.004692021187306608,-0.03699049140551932
9,-0.03373729135299742,0.005586521219471822,-0.039323812572469245
10,-0.03414074444939045,0.005452201061412711,-0.03959294551080316
11,-0.03616627599738529,0.005535738469836228,-0.04170201446722152
12,-0.03668518278960063,0.005767842439023561,-0.04245302522862419
13,-0.03556264909291991,0.0065394542789576045,-0.04210210337187751
14,-0.035021012129574224,0.007227461263554116,-0.042248473393128344
15,-0.034886506525815,0.0075279745469362365,-0.04241448107275124
