date,n,gross,cost,net,ret
2023-01-10,4,43337.60000000015,7974.821616,35362.77838400015,0.00707255567680003
2023-01-11,5,35108.9500000001,10104.342975750002,25004.607024250097,0.005000921404850019
2023-01-12,5,40173.20000000014,9763.242162,30409.95783800014,0.006081991567600028
2023-01-13,5,95988.24999999977,10026.402026250002,85961.84797374977,0.017192369594749953
2023-01-16,5,113031.40000000011,10035.710049000001,102995.68995100011,0.020599137990200023
2023-01-17,5,41954.30000000019,10008.611425500001,31945.688574500193,0.006389137714900039
2023-01-30,4,138740.69999999978,7217.4456494999995,131523.25435049977,0.026304650870099956
2023-01-31,5,39953.69999999988,8769.6643545,31184.03564549988,0.006236807129099976
2023-02-01,5,30388.70000000012,10044.1673295,20344.53267050012,0.004068906534100024
2023-02-02,5,30821.99999999976,9458.199270000001,21363.80072999976,0.004272760145999952
2023-02-03,5,69943.54999999993,9816.07173675,60127.47826324993,0.012025495652649985
2023-02-06,5,50329.90000000009,10056.681871499999,40273.21812850009,0.008054643625700018
2023-02-07,5,48443.65000000016,9718.595915250002,38725.05408475016,0.007745010816950032
2023-02-08,5,55366.00000000014,9567.008310000001,45798.99169000014,0.009159798338000028
2023-02-09,5,35245.49999999997,8994.756217500002,26250.74378249997,0.005250148756499993
2023-02-10,5,85842.09999999983,10021.332148500001,75820.76785149983,0.015164153570299965
2023-02-13,5,47418.399999999914,8943.931344,38474.46865599991,0.007694893731199982
2023-02-14,5,44051.400000000285,9807.217749,34244.18225100028,0.0068488364502000566
2023-02-15,5,38499.050000000076,9400.073804250002,29098.976195750074,0.005819795239150015
2023-02-16,5,85142.49999999996,9607.118362500001,75535.38163749996,0.015107076327499991
2023-02-17,5,83763.09000000008,9254.743315650001,74508.34668435008,0.014901669336870016
2023-02-20,5,48075.400000000074,9963.233589,38112.16641100007,0.007622433282200014
2023-02-21,5,59145.850000000144,9710.99634225,49434.85365775014,0.009886970731550029
2023-02-22,5,95407.64999999986,9986.44965525,85421.20034474986,0.01708424006894997
2023-02-23,5,75091.20000000029,9943.540092000001,65147.659908000285,0.013029531981600057
2023-02-24,5,61656.45000000035,9791.757263250001,51864.69273675035,0.01037293854735007
2023-03-01,5,57801.49999999988,9906.488677500001,47895.01132249988,0.009579002264499975
2023-03-02,5,44017.750000000065,9153.03768375,34864.712316250065,0.006972942463250013
2023-03-03,5,54958.09999999975,9686.8577085,45271.24229149975,0.009054248458299951
2023-03-06,5,94152.44999999984,9273.785123250002,84878.66487674984,0.016975732975349968
2023-03-07,5,47280.39999999996,9539.534514,37740.86548599996,0.007548173097199992
2023-03-08,5,60876.000000000065,10165.137660000002,50710.862340000065,0.010142172468000013
2023-03-09,5,98726.20000000001,10050.540267,88675.65973300001,0.0177351319466
