event_date,stock_id,公司簡稱,參與分點清單,參與分點數,ret_10d,ret_20d,ret_60d,excess_10d,excess_20d,excess_60d
2021-08-11,2330,台積電,港商野村|新加坡商瑞銀,2,-0.00847458,0.04915254,0.02033898,0.00082022,0.07093782,-0.00043662
2021-08-16,2454,聯發科,港商野村|新加坡商瑞銀,2,0.01220866,0.02885683,0.05882353,-0.00929003,0.01112752,0.00845722
2021-08-17,2357,華碩,港商野村|新加坡商瑞銀,2,0.01886792,0.01415094,0.13207547,-0.0193954,-0.01738034,0.06520714
2021-09-02,2303,聯電,港商野村|新加坡商瑞銀,2,0.034375,-0.05,-0.0046875,0.04365213,-0.00107633,-0.04247683
2021-09-08,2330,台積電,港商野村|新加坡商瑞銀,2,-0.03392569,-0.07108239,-0.03069467,-0.04956001,-0.06645051,-0.10257711
2021-09-22,3711,日月光投控,港商野村|新加坡商瑞銀,2,-0.13793103,-0.17327586,-0.10775862,-0.11211304,-0.18129997,-0.19489794
2021-09-27,3034,聯詠,港商野村|新加坡商瑞銀,2,-0.1438435,-0.05868815,0.23130035,-0.11036174,-0.05608878,0.1645429
2021-10-25,2603,長榮,凱基-信義|新加坡商瑞銀,2,0.30115425,0.25393494,0.33263379,0.27275908,0.19721046,0.26572806
2021-10-26,3037,欣興,凱基-站前|新加坡商瑞銀,2,0.23397436,0.26282051,0.38141026,0.20448803,0.21826591,0.32188039
2021-11-09,2330,台積電,港商野村|新加坡商瑞銀,2,0.00163666,-0.00654664,0.06382979,-0.01300003,-0.03262913,0.0248798
2021-11-15,2610,華航,凱基-信義|新加坡商瑞銀,2,-0.0625,0.02272727,0.17424242,-0.05570225,-0.00381744,0.14967195
2021-12-02,2603,長榮,凱基-信義|新加坡商瑞銀,2,0.06015038,0.07142857,0.17293233,0.03444513,0.02198387,0.18638651
2021-12-07,2330,台積電,港商野村|新加坡商瑞銀,2,-0.01647446,0.0708402,-0.05766063,-0.02897015,0.03900644,-0.04262964
2021-12-07,2454,聯發科,港商野村|新加坡商瑞銀,2,0.02347418,0.10328638,-0.11361502,0.01097849,0.07145263,-0.09858403
2021-12-10,3481,群創,港商野村|新加坡商瑞銀,2,0.00527704,0.00527704,-0.06860158,-0.00876974,-0.00966623,-0.05180684
2021-12-15,8046,南電,港商野村|新加坡商瑞銀,2,-0.01043478,-0.09565217,-0.14782609,-0.03822676,-0.10023896,-0.14716743
2022-01-05,2330,台積電,港商野村|新加坡商瑞銀,2,0.00615385,0.0,-0.11846154,0.03407697,0.01869812,-0.08557661
2022-01-24,2454,聯發科,港商野村|新加坡商瑞銀,2,0.03669725,-0.00917431,-0.24770642,0.01312831,-0.03601861,-0.22326192
2022-02-11,2330,台積電,港商野村|新加坡商瑞銀,2,-0.07076923,-0.12,-0.22307692,-0.05272523,-0.09277007,-0.13227759
2022-02-17,2610,華航,凱基-信義|新加坡商瑞銀,2,-0.08548387,-0.07741935,-0.18225806,-0.08144746,-0.06211992,-0.12546739
2022-03-30,2330,台積電,凱基-信義|新加坡商瑞銀,2,-0.06333333,-0.10333333,-0.17083333,-0.03960116,-0.05304087,-0.09490613
2022-04-13,2412,中華電,港商野村|新加坡商瑞銀,2,0.02723735,-0.03501946,-0.0311284,0.07181109,0.04244263,0.06871737
2022-04-25,2603,長榮,港商野村|新加坡商瑞銀,2,0.06810036,0.01792115,-0.35698925,0.09303524,0.03928344,-0.29915694
2022-06-06,3037,欣興,港商野村|新加坡商瑞銀,2,-0.22604423,-0.26781327,-0.25552826,-0.16563536,-0.16928482,-0.22976917
2022-06-13,2330,台積電,港商野村|新加坡商瑞銀,2,-0.03391473,-0.10465116,-0.05813953,-0.00885732,-0.02827436,-0.03884181
2022-06-15,8046,南電,港商野村|新加坡商瑞銀,2,-0.16995448,-0.26555387,-0.26555387,-0.13550771,-0.18228632,-0.23074994
2022-06-22,00632R,,凱基-站前|新加坡商瑞銀,2,0.07849829,0.01365188,0.00341297,0.12872236,0.02576926,-0.0329625
2022-06-22,2609,陽明,凱基-信義|新加坡商瑞銀,2,-0.2049505,-0.14257426,-0.28118812,-0.15472642,-0.13045688,-0.31756359
2022-07-11,2330,台積電,港商野村|新加坡商瑞銀,2,0.08116883,0.10822511,-0.07142857,0.05042026,0.07713562,-0.07384409
2022-07-15,2454,聯發科,港商野村|新加坡商瑞銀,2,0.05401235,0.05555556,-0.14660494,0.02019006,0.00324393,-0.11759114
2022-07-19,2317,鴻海,港商野村|新加坡商瑞銀,2,0.03846154,0.06730769,-0.00480769,0.02859415,0.01980799,0.07346217
2022-08-18,2454,聯發科,港商野村|新加坡商瑞銀,2,-0.07692308,-0.14529915,-0.00712251,-0.0782626,-0.13594531,0.0530087
2022-10-05,2330,台積電,港商野村|新加坡商瑞銀,2,-0.10674157,-0.13707865,0.00224719,-0.05179451,-0.10278964,-0.02050275
2022-11-04,2330,台積電,港商野村|新加坡商瑞銀,2,0.27486911,0.28926702,0.41361257,0.23473647,0.20641978,0.28920607
2022-11-11,2303,聯電,港商野村|新加坡商瑞銀,2,0.04090909,-0.01136364,0.13863636,0.01621852,-0.06462283,0.03327266
2022-12-23,2454,聯發科,港商野村|新加坡商瑞銀,2,0.02272727,0.13181818,0.14090909,0.00921309,0.07981371,0.01945353
2022-12-27,2002,中鋼,港商野村|新加坡商瑞銀,2,0.01320132,0.02475248,0.01980198,0.00413049,-0.02290584,-0.10540497
2023-01-10,2330,台積電,港商野村|新加坡商瑞銀,2,0.11522634,0.06584362,0.05144033,0.07697389,0.01055073,-0.05562105
2023-01-13,2303,聯電,港商野村|新加坡商瑞銀,2,0.1123348,0.09140969,0.0660793,0.05981552,0.02101415,-0.04072347
2023-02-10,3034,聯詠,港商野村|新加坡商瑞銀,2,0.06258149,0.09517601,0.04432855,0.03032059,0.06385313,-0.01685233
2023-02-17,2330,台積電,港商野村|新加坡商瑞銀,2,0.01158301,-0.0019305,0.02509653,-0.02981591,-0.03135992,-0.05109495
2023-03-01,2454,聯發科,港商野村|新加坡商瑞銀,2,-0.04171934,-0.02275601,-0.03539823,-0.04225765,-0.04208319,-0.10141023
2023-04-27,3661,世芯-KY,凱基-信義|新加坡商瑞銀,2,0.11522634,0.24279835,0.81893004,0.11212111,0.21478111,0.74311513
2023-04-28,2330,台積電,港商野村|新加坡商瑞銀,2,-0.01294821,0.1314741,0.12749004,0.00025351,0.10483906,0.06851961
2023-05-02,2317,鴻海,港商野村|新加坡商瑞銀,2,-0.03773585,0.00943396,0.04245283,-0.02607791,-0.00746652,-0.017606
2023-05-29,2330,台積電,港商野村|新加坡商瑞銀,2,0.01056338,0.01056338,-0.00704225,-0.01079588,-0.01930878,-0.00385377
2023-06-05,3711,日月光投控,港商野村|新加坡商瑞銀,2,0.08583691,-0.04291845,0.01287554,0.07078483,-0.06890259,0.02388357
2023-06-20,3037,欣興,港商野村|新加坡商瑞銀,2,-0.10344828,0.04244032,0.01061008,-0.10996644,0.03980599,0.02007001
2023-06-21,2324,仁寶,港商野村|新加坡商瑞銀,2,-0.00511073,0.05792164,0.05792164,-0.00012801,0.06236625,0.0733427
2023-06-26,3231,緯創,凱基-信義|新加坡商瑞銀,2,0.24396135,0.90821256,0.1884058,0.24532915,0.91382667,0.20254568
2023-06-27,2376,技嘉,凱基-信義|新加坡商瑞銀,2,0.18669528,0.51287554,0.13090129,0.17800526,0.50242433,0.14219354
2023-06-28,2330,台積電,港商野村|新加坡商瑞銀,2,0.00696864,-0.01393728,-0.08188153,0.00730542,-0.01551449,-0.05718518
2023-07-26,2330,台積電,港商野村|新加坡商瑞銀,2,-0.02650177,-0.00353357,-0.03886926,0.00138447,0.03009229,-0.00429555
2023-08-04,8069,元太,港商野村|新加坡商瑞銀,2,-0.16781609,-0.13563218,-0.22298851,-0.13586284,-0.12302028,-0.18777872
2023-08-07,2454,聯發科,港商野村|新加坡商瑞銀,2,-0.05240793,0.00708215,0.22946176,-0.01760366,0.0199846,0.25777767
2023-08-11,2382,廣達,凱基-信義|新加坡商瑞銀,2,0.0917226,0.08277405,-0.03803132,0.09821469,0.06910719,-0.0554352
2023-09-01,2330,台積電,港商野村|新加坡商瑞銀,2,0.01824818,-0.02737226,0.04744526,0.00661222,-0.0305272,-0.00067158
2023-09-05,3231,緯創,凱基-信義|新加坡商瑞銀,2,-0.12533333,-0.05777778,-0.17511111,-0.1230476,-0.04205339,-0.22432275
2023-09-13,2454,聯發科,港商野村|新加坡商瑞銀,2,0.0068306,0.14754098,0.28551913,0.01559298,0.15480857,0.22478
2023-09-15,2376,技嘉,港商野村|新加坡商瑞銀,2,0.06813996,-0.09392265,-0.07918969,0.07652343,-0.06435095,-0.13135078
2023-09-26,2382,廣達,港商野村|新加坡商瑞銀,2,0.02031603,-0.08352144,-0.02934537,0.01328378,-0.07359791,-0.10118678
2023-10-11,3443,創意,凱基-信義|新加坡商瑞銀,2,-0.05396825,0.02857143,0.03492063,-0.05100458,0.0154346,-0.03653429
2023-10-16,2454,聯發科,港商野村|新加坡商瑞銀,2,0.0202381,0.07857143,0.1047619,0.02888757,0.07283191,0.03972642
2023-10-17,2330,台積電,港商野村|新加坡商瑞銀,2,-0.0399274,0.03811252,0.05989111,-0.02184421,0.02495546,-0.00541055
2023-11-09,3661,世芯-KY,凱基-信義|港商野村,2,-0.03549383,0.04012346,0.22993827,-0.07093441,-0.01528401,0.1555296
2023-11-13,3231,緯創,港商野村|新加坡商瑞銀,2,-0.073,-0.082,0.305,-0.10691985,-0.14440688,0.22054233
2023-11-16,6669,緯穎,港商野村|新加坡商瑞銀,2,-0.04087193,-0.0599455,0.20163488,-0.07674302,-0.11127837,0.11146343
2023-11-17,2330,台積電,港商野村|新加坡商瑞銀,2,-0.00172414,0.00862069,0.17413793,-0.03645425,-0.03702837,0.0856179
2023-11-21,2303,聯電,港商野村|新加坡商瑞銀,2,-0.02186879,-0.00596421,-0.04274354,-0.04693283,-0.03425511,-0.12238763
2023-11-21,2317,鴻海,凱基-信義|新加坡商瑞銀,2,-0.01463415,0.0,0.00487805,-0.03969819,-0.02829089,-0.07476604
2023-12-20,2324,仁寶,凱基-站前|新加坡商瑞銀,2,-0.0026738,-0.06951872,0.01336898,0.00097439,-0.04959961,-0.04256507
2023-12-21,2330,台積電,港商野村|新加坡商瑞銀,2,-0.0017331,0.08492201,0.35008666,-0.00393752,0.09599443,0.28241521
2023-12-21,2356,英業達,港商野村|新加坡商瑞銀,2,0.016,0.038,0.174,0.01379558,0.04907242,0.10632856
2023-12-27,2303,聯電,港商野村|新加坡商瑞銀,2,-0.0635514,-0.02242991,-0.02616822,-0.05439768,-0.01875547,-0.09642278
2024-01-08,3017,奇鋐,港商野村|新加坡商瑞銀,2,0.26202322,0.61028192,1.04311774,0.26602251,0.60247796,0.96443362
2024-01-19,2330,台積電,港商野村|新加坡商瑞銀,2,0.014377,0.11501597,0.24920128,-0.00916646,0.05443515,0.16191356
2024-01-23,3231,緯創,凱基-信義|新加坡商瑞銀,2,0.11538462,0.00854701,-0.02991453,0.09803458,-0.04940517,-0.11821117
2024-01-24,2382,廣達,港商野村|新加坡商瑞銀,2,-0.006,-0.044,0.044,-0.03226941,-0.10264508,-0.0449084
2024-01-24,3035,智原,凱基-站前|港商野村,2,0.02913753,-0.06060606,-0.32750583,0.00286812,-0.11925114,-0.41641422
2024-01-25,2303,聯電,港商野村|新加坡商瑞銀,2,-0.06022945,-0.06787763,-0.01720841,-0.09742511,-0.13195834,-0.10813803
2024-02-22,2454,聯發科,港商野村|新加坡商瑞銀,2,0.21182266,0.10837438,0.16748768,0.21297747,0.09550249,0.0974724
2024-02-27,3034,聯詠,凱基-站前|新加坡商瑞銀,2,-0.03471074,-0.0231405,0.00330579,-0.0393049,-0.04109734,-0.06948523
2024-03-04,2330,台積電,港商野村|新加坡商瑞銀,2,0.0537931,0.06206897,0.15586207,0.06542855,0.05070294,0.09413073
2024-03-04,2379,瑞昱,港商野村|新加坡商瑞銀,2,0.02966841,-0.02443281,-0.0052356,0.04130386,-0.03579884,-0.06696695
2024-03-04,2382,廣達,港商野村|新加坡商瑞銀,2,0.06694561,0.18200837,0.17782427,0.07858105,0.17064234,0.11609292
2024-03-05,6669,緯穎,港商野村|新加坡商瑞銀,2,-0.15039062,-0.125,-0.03515625,-0.13784399,-0.13451143,-0.09910995
2024-03-06,4966,譜瑞-KY,港商野村|新加坡商瑞銀,2,-0.10967742,-0.17603687,-0.26082949,-0.09189454,-0.17977296,-0.32819765
2024-03-08,3711,日月光投控,港商野村|新加坡商瑞銀,2,-0.0031348,-0.02194357,-0.01567398,-0.01717772,-0.05836318,-0.10350263
2024-03-13,2317,鴻海,港商野村|新加坡商瑞銀,2,0.23236515,0.24896266,0.49792531,0.21906357,0.21572391,0.41794737
2024-03-14,1519,華城,凱基-站前|新加坡商瑞銀,2,0.05678233,0.38170347,0.24290221,0.04001062,0.35432619,0.15804431
2024-03-18,3661,世芯-KY,凱基-站前|新加坡商瑞銀,2,-0.06684857,-0.20873124,-0.27421555,-0.09012082,-0.22635429,-0.36983444
2024-03-20,3037,欣興,港商野村|新加坡商瑞銀,2,-0.02290076,-0.13486005,-0.03307888,-0.04480933,-0.1379414,-0.13524919
2024-04-01,2330,台積電,港商野村|新加坡商瑞銀,2,0.04415584,0.0025974,0.25454545,0.04967657,-0.01442988,0.1632041
2024-04-08,2382,廣達,港商野村|新加坡商瑞銀,2,-0.2109777,-0.08404803,0.05660377,-0.18078685,-0.10052089,-0.03952917
2024-04-11,2603,長榮,港商野村|新加坡商瑞銀,2,0.03428571,0.10571429,0.00285714,0.04902786,0.09595706,-0.10413723
2024-04-12,2317,鴻海,凱基-站前|港商野村|新加坡商瑞銀,3,0.02990033,0.12624585,0.49833887,0.04223599,0.12082074,0.40433328
2024-04-17,2371,大同,港商野村|新加坡商瑞銀,2,0.02021773,-0.0777605,-0.12908243,-0.00245544,-0.11412998,-0.25007511
2024-04-22,6669,緯穎,港商野村|新加坡商瑞銀,2,0.08564815,0.1875,0.10185185,0.03753176,0.12322685,-0.05086373
2024-05-02,2330,台積電,凱基-站前|港商野村|新加坡商瑞銀,3,0.08937824,0.08549223,0.21761658,0.07598559,0.05326888,0.16657206
2024-05-10,2603,長榮,港商野村|新加坡商瑞銀,2,0.13436693,0.12661499,-0.08527132,0.11600235,0.07902422,-0.08252534
2024-05-14,2345,智邦,港商野村|新加坡商瑞銀,2,0.06808511,0.14042553,0.04893617,0.03322149,0.10193303,0.04580234
2024-05-29,2347,聯強,港商野村|新加坡商瑞銀,2,-0.04576659,-0.16590389,-0.19336384,-0.05251502,-0.19026984,-0.20463755
2024-05-31,2317,鴻海,港商野村|新加坡商瑞銀,2,0.1627907,0.25581395,0.07848837,0.14334198,0.2194537,0.05822101
2024-06-03,3017,奇鋐,港商野村|新加坡商瑞銀,2,-0.03125,0.02173913,-0.1875,-0.04549287,-0.00646793,-0.20148395
2024-06-06,2330,台積電,港商野村|新加坡商瑞銀,2,0.08501119,0.12416107,0.05145414,0.05717691,0.06470018,0.03468611
2024-06-17,1519,華城,凱基-站前|新加坡商瑞銀,2,0.03425414,0.06077348,-0.39005525,0.01766524,0.02433812,-0.34864373
2024-07-02,4958,臻鼎-KY,凱基-站前|新加坡商瑞銀,2,0.15503876,0.07751938,-0.1124031,0.13196387,0.08139532,-0.10576424
2024-07-05,2330,台積電,港商野村|新加坡商瑞銀,2,-0.03482587,-0.12437811,-0.0278607,-0.01438376,0.00680222,0.01101601
2024-07-05,2383,台光電,港商野村|新加坡商瑞銀,2,-0.14665354,-0.16043307,-0.18405512,-0.12621143,-0.02925274,-0.14517841
