event_date,stock_id,broker,rolling_2y_buy_wan,ret_10d,excess_10d,ret_20d,excess_20d,ret_60d,excess_60d,company_name
2024-12-09,2382,凱基-站前,258259.0,-0.02364865,0.00071605,-0.00168919,0.02170581,-0.13344595,-0.12445873,廣達
2025-03-14,2382,凱基-站前,274413.4,-0.06042885,-0.03830887,-0.11111111,0.00913505,0.11695906,0.18639521,廣達
2025-06-12,2382,凱基-站前,347809.9,0.0122164,0.02253379,-0.04712042,-0.02519743,-0.10296684,-0.14610036,廣達
2025-09-04,2382,凱基-站前,341800.3,0.08754864,0.07840865,0.16731518,0.16326727,0.1381323,0.13460571,廣達
2025-12-03,2382,凱基-站前,359538.35,-0.09401709,-0.09707659,-0.05299145,-0.08005392,-0.01196581,-0.07147328,廣達
2026-03-11,2382,凱基-站前,330495.5,-0.01384083,-0.02375013,0.11245675,0.09067211,0.30276817,0.18604277,廣達
2026-06-08,2382,凱基-站前,303416.5,-0.01062417,-0.0453404,-0.00929615,-0.03807778,-0.10491368,-0.10280711,廣達
2026-09-02,2382,凱基-站前,281167.4,,,,,,,廣達
2025-04-15,2383,凱基-站前,202752.9,0.03860294,0.0084717,0.26286765,0.199397,0.75919118,0.72462551,台光電
2025-07-10,2383,凱基-站前,258817.4,0.03343783,0.0175356,0.19644723,0.16304785,0.36363636,0.29280449,台光電
2025-10-03,2383,凱基-站前,273086.95,-0.13409962,-0.14072805,0.10344828,0.11346492,0.2183908,0.19186161,台光電
2026-01-02,2383,凱基-站前,287602.45,0.02201258,-0.01011594,0.09748428,0.07020472,1.1509434,1.09688049,台光電
2026-04-10,2383,凱基-站前,332316.7,0.30847953,0.27440575,0.41812865,0.34897024,0.52631579,0.40194325,台光電
2026-07-07,2383,凱基-站前,346826.15,-0.01819923,0.02166129,0.00478927,0.06097061,,,台光電
2026-08-05,2408,凱基-站前,282990.1,0.08089888,0.07613557,0.16404494,0.13633064,,,南亞科
2026-01-02,2449,凱基-站前,213369.28,0.02242991,-0.00969862,0.10654206,0.07926249,0.03738318,-0.01667973,京元電子
2026-04-10,2449,凱基-站前,211880.08,0.03063063,-0.00344315,0.07927928,0.01012086,0.14234234,0.0179698,京元電子
