起始日,出關日,處置次別,代號,名稱,規模,Dn組別,近20日漲幅,大戶(%),買進日,買進時累積(%),觸發方式,最深日,期間最深(%),出關報酬(%),結果,T+1收盤(%),T+2收盤(%),T+3收盤(%),T+4收盤(%),T+5收盤(%),T+6收盤(%),T+7收盤(%),T+8收盤(%),T+9收盤(%),T+10收盤(%),D1%,D2%,D3%,D4%,D5%,LowD1%,LowD2%,LowD3%,LowD4%,LowD5%,出關開盤(相對D0)%,買進日(-5%版),買進時累積(-5%版)(%),出關報酬(-5%版)(%),結果(-5%版)
2026-08-11,2026-08-18,第一次,3006,晶豪科,大,Dn -5%~0%,20.83,,D1,-2.90,,D5,-0.91,3.93,✅ +3.93%,,,,,,,,,,,-2.90,-0.54,0.73,-0.73,-0.91,-4.17,-2.36,-1.09,-2.18,-3.27,0.91,-,,,-
2026-08-11,2026-08-18,第一次,3081,聯亞,大,Dn ≥ 0%,27.39,,-,,,D4,0.20,,-,,,,,,,,,,,-2.17,7.50,5.13,0.20,10.06,-4.73,0.99,4.14,-2.56,3.55,12.43,-,,,-
2026-08-11,2026-08-18,第二次+,3450,聯鈞,大,Dn -5%~0%,1.75,,D4,-2.67,僅盤中觸及(C),D4,-2.67,10.20,✅ +10.20%,13.53,11.18,8.43,8.04,-0.59,4.51,12.55,13.33,24.51,,-9.64,-3.24,0.57,-2.67,4.96,-9.92,-7.54,-4.68,-6.30,-4.20,7.25,-,,,-
2026-08-11,2026-08-18,第一次,4971,IET-KY,中,Dn -5%~0%,17.29,,-,,,D4,-4.38,,-,,,,,,,,,,,-7.37,-0.40,-1.59,-4.38,5.18,-7.97,-5.38,-2.49,-5.78,-2.99,12.35,-,,,-
2026-08-11,2026-08-18,第一次,5351,鈺創,中,Dn ≥ 0%,14.00,,-,,,D3,13.16,,-,,,,,,,,,,,4.82,7.02,13.16,16.67,18.86,-4.82,5.70,7.89,12.28,14.04,21.05,-,,,-
2026-08-11,2026-08-18,第一次,6213,聯茂,大,Dn ≥ 0%,18.92,,-,,,D3,9.71,,-,,,,,,,,,,,5.73,8.54,9.71,12.28,12.51,-7.49,5.61,4.80,8.07,9.01,13.68,-,,,-
2026-08-11,2026-08-18,第二次+,6531,愛普*,大,Dn < -5%,3.36,,D3,-6.28,收盤跌破(A),D3,-6.28,3.24,✅ +3.24%,-0.23,-3.24,1.97,2.08,-2.31,1.27,5.90,6.01,3.47,,-9.97,-4.88,-6.28,0.98,-5.42,-9.97,-10.29,-6.83,-5.74,-5.42,-3.25,-,,,-
2026-08-10,2026-08-17,第一次,2059,川湖,大,Dn ≥ 0%,34.67,,-,,,D3,8.42,,-,,,,,,,,,,,7.16,10.85,8.42,10.13,12.51,4.32,4.55,6.12,6.57,8.10,23.76,-,,,-
2026-08-10,2026-08-17,第一次,2455,全新,大,Dn ≥ 0%,10.14,,-,,,D5,4.26,,-,,,,,,,,,,,5.63,0.96,5.63,5.49,4.26,3.30,-1.51,2.20,4.40,3.30,12.50,-,,,-
2026-08-10,2026-08-17,第一次,3037,欣興,大,Dn ≥ 0%,9.14,,-,,,D3,4.71,,-,,,,,,,,,,,3.87,3.87,4.71,4.71,6.81,2.20,1.78,3.66,2.20,4.19,9.42,-,,,-
2026-08-10,2026-08-17,第二次+,3189,景碩,大,Dn ≥ 0%,3.52,,-,,,D4,3.40,,-,5.48,0.82,-1.05,-0.82,-5.48,-7.46,-2.68,2.68,6.53,4.78,1.58,2.31,4.25,3.40,4.74,-1.46,-1.94,0.49,-1.22,2.07,8.87,-,,,-
2026-08-10,2026-08-17,第一次,3653,健策,大,Dn ≥ 0%,36.66,,-,,,D3,2.05,,-,,,,,,,,,,,-5.59,-7.19,2.05,5.82,10.84,-7.53,-11.07,-5.82,0.80,3.42,21.92,-,,,-
2026-08-05,2026-08-12,第一次,3362,先進光,中,Dn -5%~0%,5.90,,-,,,D3,-3.34,,-,,,,,,,,,,,-2.79,-1.95,-3.34,-0.84,-2.79,-3.90,-4.46,-3.62,-2.51,-4.74,-2.79,-,,,-
