d0,code,d1,city_d0_buy_rank_top3,unicenter_city_d0_cobuy,fubon_chiayi_d0_cobuy,bonus_signal_count,d1_0915_close,has_d1_0915_close,addon_eligible,addon_ret_0915_to_close_pct
2018-01-09,9958,2018-01-10,True,False,False,1,,False,False,
2018-01-18,9958,2018-01-19,True,False,False,1,,False,False,
2018-03-02,6150,2018-03-05,False,False,False,0,,False,False,
2018-04-09,5519,2018-04-10,True,False,False,1,,False,False,
2018-04-19,1795,2018-04-20,False,False,False,0,,False,False,
2018-04-30,6186,2018-05-02,True,False,False,1,,False,False,
2018-05-02,4190,2018-05-03,True,False,False,1,,False,False,
2018-05-10,6533,2018-05-11,True,False,False,1,,False,False,
2018-05-29,4806,2018-05-30,True,False,False,1,,False,False,
2018-06-01,1760,2018-06-04,False,False,False,0,,False,False,
2018-06-06,2358,2018-06-07,False,True,False,1,,False,False,
2018-06-19,8043,2018-06-20,False,False,True,1,,False,False,
2018-08-09,6274,2018-08-10,True,False,False,1,,False,False,
2018-10-12,5274,2018-10-15,False,False,False,0,,False,False,
2018-11-13,5511,2018-11-14,True,False,False,1,,False,False,
2018-12-03,2360,2018-12-04,False,False,False,0,,False,False,
2018-12-12,8261,2018-12-13,True,False,False,1,34.45,True,True,1.161103047895517
2019-02-25,6245,2019-02-26,True,False,False,1,74.5,True,True,2.2818791946308763
2019-06-10,3653,2019-06-11,True,False,False,1,122.5,True,False,-0.40816326530612246
2019-11-01,3083,2019-11-04,True,False,False,1,81.6,True,True,0.0
2020-07-08,4108,2020-07-09,True,False,True,2,33.25,True,False,0.0
2020-07-29,4157,2020-07-30,True,False,False,1,,False,False,
2020-07-31,4192,2020-08-03,True,False,False,1,,False,False,
2020-08-28,6220,2020-08-31,False,False,False,0,29.35,True,False,1.0221465076661012
2020-10-26,6477,2020-10-27,True,False,True,2,,False,False,
2020-10-27,9105,2020-10-28,True,False,False,1,5.54,True,False,7.039711191335734
2020-11-10,2610,2020-11-11,False,True,False,1,8.96,True,True,-1.5624999999999862
2021-03-24,2204,2021-03-25,True,False,True,2,65.1,True,False,0.0
2021-03-30,5529,2021-03-31,True,False,False,1,16.6,True,False,-2.108433734939746
