event_date,ticker,company,industry,brokers,broker_count,positive_event_flag,negative_event_flag,upgrade_event_flag,downgrade_event_flag,median_potential_pct,max_positive_potential_pct,median_target_change_pct,prior_report_broker_events_20td,pre_return_5d_pct,event_open,event_close,open_to_d0_close_pct,open_to_d1_close_pct,market_adjusted_open_to_d1_close_pct,open_to_d3_close_pct,market_adjusted_open_to_d3_close_pct,open_to_d5_close_pct,market_adjusted_open_to_d5_close_pct,main_open_entry_tradable_flag,price_data_pending_flag,data_pending_flag,market_board,theme,taiex_event_return_pct,otc_event_return_pct,event_market_index_name,event_market_index_return_pct,v1_candidate,round_trip_cost_pct,d0_pending,market_adjusted_open_to_d0_close_pct,d1_pending,d2_pending,open_to_d2_close_pct,market_adjusted_open_to_d2_close_pct,d3_pending,d4_pending,open_to_d4_close_pct,market_adjusted_open_to_d4_close_pct,d5_pending,d6_pending,open_to_d6_close_pct,market_adjusted_open_to_d6_close_pct,d7_pending,open_to_d7_close_pct,market_adjusted_open_to_d7_close_pct,d8_pending,open_to_d8_close_pct,market_adjusted_open_to_d8_close_pct,net_d0_return_pct,net_d1_return_pct,net_d2_return_pct,net_d3_return_pct,net_d4_return_pct,net_d5_return_pct,net_d6_return_pct,net_d7_return_pct,net_d8_return_pct
2026-08-06,6770,力積電,半導體業,UBS,1,True,False,True,False,51.0,51.0,66.66666667,0,31.15079365,66.4,66.6,0.30120482,,,,,,,True,False,False,sii,半導體製造與材料、成熟製程、記憶體,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-0.29879518,,,,,,,,
2026-08-06,4915,致伸,電子零組件業,KGI;SinoPac;Yuanta,3,False,False,False,True,9.1,,-14.23992674,0,1.11111111,63.0,61.9,-1.74603175,,,,,,,True,False,False,sii,,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-2.34603175,,,,,,,,
2026-08-06,1319,東陽,汽車工業,SinoPac,1,True,False,False,False,43.0,43.0,0.0,0,3.40425532,74.0,76.5,3.37837838,,,,,,,True,False,False,sii,,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,2.77837838,,,,,,,,
2026-08-06,2385,群光,電子零組件業,KGI,1,False,False,False,False,1.9,,-20.30075188,0,2.46305419,105.0,103.5,-1.42857143,,,,,,,True,False,False,sii,,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-2.02857143,,,,,,,,
2026-08-06,2395,研華,電腦及週邊設備業,Daiwa;HSBC;KGI;Macquarie;SinoPac;Yuanta,6,True,False,True,False,18.5,26.4,45.03205128,1,15.09090909,670.0,622.0,-7.1641791,,,,,,,True,False,False,sii,工業電腦與邊緣運算,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-7.7641791,,,,,,,,
2026-08-06,2458,義隆,半導體業,President;Yuanta,2,False,False,False,True,-6.5,,-6.25,0,7.35785953,146.0,147.5,1.02739726,,,,,,,True,False,False,sii,功率元件,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,0.4273972600000001,,,,,,,,
2026-08-06,3017,奇鋐,電腦及週邊設備業,KGI,1,True,False,False,False,46.5,46.5,15.94202899,2,30.31026253,2730.0,2940.0,7.69230769,,,,,,,True,False,False,sii,AI伺服器液冷散熱,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,7.09230769,,,,,,,,
2026-08-06,3231,緯創,電腦及週邊設備業,CITI,1,True,False,False,False,65.8,65.8,68.42105263,13,13.86430678,193.5,189.5,-2.06718346,,,,,,,True,False,False,sii,AI伺服器組裝與零組件,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-2.66718346,,,,,,,,
2026-08-06,2637,慧洋-KY,航運業,Yuanta,1,True,False,False,False,23.0,23.0,10.52631579,1,6.21890547,86.2,85.5,-0.81206497,,,,,,,True,False,False,sii,航運貨櫃與散裝,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-1.4120649699999999,,,,,,,,
2026-08-06,4919,新唐,半導體業,Morgan Stanley,1,False,True,False,False,-26.9,,-3.06122449,0,19.8156682,125.0,125.0,0.0,,,,,,,True,False,False,sii,,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-0.6,,,,,,,,
2026-08-06,4966,譜瑞-KY,半導體業,HSBC;KGI;Nomura;UBS;Yuanta,5,False,False,False,False,-1.3,,7.57575758,0,10.16042781,610.0,605.0,-0.81967213,,,,,,,True,False,False,otc,,-0.4817132763675902,1.9856677524429989,櫃買指數,1.9856677524429989,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-1.41967213,,,,,,,,
2026-08-06,4991,環宇-KY,半導體業,Yuanta,1,True,False,False,False,27.9,27.9,-30.63583815,0,31.55680224,422.5,442.0,4.61538462,,,,,,,True,False,False,otc,,-0.4817132763675902,1.9856677524429989,櫃買指數,1.9856677524429989,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,4.015384620000001,,,,,,,,
2026-08-06,5274,信驊,半導體業,Daiwa;JP Morgan;KGI,3,True,False,False,False,23.6,43.6,7.71406811,4,24.08985283,16625.0,16750.0,0.7518797,,,,,,,True,False,False,otc,IC設計_消費通訊,-0.4817132763675902,1.9856677524429989,櫃買指數,1.9856677524429989,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,0.15187970000000006,,,,,,,,
2026-08-06,6271,同欣電,半導體業,SinoPac,1,True,False,True,False,15.0,15.0,,0,27.51677852,187.5,192.0,2.4,,,,,,,True,False,False,sii,,-0.4817132763675902,1.9856677524429989,加權指數,-0.4817132763675902,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,1.7999999999999998,,,,,,,,
2026-08-06,6488,環球晶,半導體業,JP Morgan,1,False,False,False,False,-8.3,,44.14414414,7,0.92592593,877.0,872.0,-0.57012543,,,,,,,True,False,False,otc,半導體製造與材料、矽晶圓,-0.4817132763675902,1.9856677524429989,櫃買指數,1.9856677524429989,False,0.6,False,,False,True,,,True,True,,,True,True,,,True,,,True,,,-1.1701254300000001,,,,,,,,
2026-08-05,4441,振大環球,紡織纖維,Yuanta,1,True,False,False,False,40.1,40.1,,0,2.5862069,187.5,188.5,0.53333333,3.2,1.8604148,,,,,True,False,False,sii,,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,1.6000000000000014,,True,True,,,True,True,,,True,,,True,,,-0.06666666999999993,2.6,1.0000000000000013,,,,,,
2026-08-05,2379,瑞昱,半導體業,Daiwa,1,True,False,False,False,3.7,3.7,21.95121951,7,-1.09439124,762.0,751.0,-1.44356955,-2.36220472,-3.70178993,,,,,True,False,False,sii,IC設計_消費通訊,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,-1.5748031496063075,,True,True,,,True,True,,,True,,,True,,,-2.04356955,-2.96220472,-2.1748031496063076,,,,,,
2026-08-05,3017,奇鋐,電腦及週邊設備業,Yuanta,1,True,False,False,False,48.3,48.3,6.7867036,1,16.07142857,2660.0,2730.0,2.63157895,10.52631579,9.18673059,,,,,True,False,False,sii,AI伺服器液冷散熱,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,4.699248120300736,,True,True,,,True,True,,,True,,,True,,,2.03157895,9.92631579,4.099248120300737,,,,,,
2026-08-05,3042,晶技,電子零組件業,Yuanta,1,True,False,False,False,35.7,35.7,,0,13.37792642,171.0,177.0,3.50877193,1.75438596,0.41480076,,,,,True,False,False,sii,石英元件,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,-1.7543859649122862,,True,True,,,True,True,,,True,,,True,,,2.90877193,1.15438596,-2.3543859649122862,,,,,,
2026-08-05,3131,弘塑,半導體業,Goldman Sachs,1,True,False,False,False,65.0,65.0,-6.66666667,1,1.39720559,2670.0,2345.0,-12.17228464,-10.6741573,-12.01374251,,,,,True,False,False,otc,CoPoS次世代封裝、CoWoS先進封裝、半導體設備,2.884965311874854,2.325147321547627,櫃買指數,2.325147321547627,False,0.6,False,,False,False,-10.67415730337078,,True,True,,,True,True,,,True,,,True,,,-12.77228464,-11.274157299999999,-11.27415730337078,,,,,,
2026-08-05,3231,緯創,電腦及週邊設備業,Daiwa;HSBC;JP Morgan;Morgan Stanley;Nomura;President;SinoPac;UBS,8,True,False,True,False,36.15,69.2,17.85714286,5,14.70588235,198.0,193.0,-2.52525253,-4.29292929,-5.6325145,,,,,True,False,False,sii,AI伺服器組裝與零組件,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,-7.3232323232323315,,True,True,,,True,True,,,True,,,True,,,-3.12525253,-4.89292929,-7.923232323232331,,,,,,
2026-08-05,3533,嘉澤,電子零組件業,KGI,1,True,False,False,False,36.8,36.8,-11.29032258,0,11.48286975,2020.0,1955.0,-3.21782178,-2.47524752,-3.81483273,,,,,True,False,False,sii,,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,-5.44554455445545,,True,True,,,True,True,,,True,,,True,,,-3.81782178,-3.07524752,-6.04554455445545,,,,,,
2026-08-05,6526,達發,半導體業,SinoPac;Yuanta,2,True,False,True,False,33.7,37.0,7.39041794,1,8.08270677,618.0,632.0,2.26537217,3.07443366,1.73484845,,,,,True,False,False,sii,,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,1.132686084142387,,True,True,,,True,True,,,True,,,True,,,1.66537217,2.47443366,0.5326860841423869,,,,,,
2026-08-05,5347,世界,半導體業,CITI;HSBC;KGI;Nomura;President;SinoPac;UBS;Yuanta,8,True,False,True,False,21.0,42.4,11.55462185,1,4.74576271,166.5,157.0,-5.70570571,-9.00900901,-10.34859421,,,,,True,False,False,otc,半導體製造與材料、成熟製程,2.884965311874854,2.325147321547627,櫃買指數,2.325147321547627,False,0.6,False,,False,False,-13.813813813813812,,True,True,,,True,True,,,True,,,True,,,-6.30570571,-9.60900901,-14.413813813813812,,,,,,
2026-08-05,6196,帆宣,其他電子業,Yuanta,1,True,False,False,False,32.0,32.0,,0,3.68809273,541.0,509.0,-5.91497227,-6.09981516,-7.43940036,,,,,True,False,False,sii,廠務工程,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,-8.78003696857671,,True,True,,,True,True,,,True,,,True,,,-6.5149722699999995,-6.69981516,-9.380036968576709,,,,,,
2026-08-05,6412,群電,電子零組件業,JP Morgan,1,True,False,False,False,18.6,18.6,-12.61261261,0,3.93900889,79.6,78.6,-1.25628141,-0.87939698,-2.21898219,,,,,True,False,False,sii,,2.884965311874854,2.325147321547627,加權指數,2.884965311874854,False,0.6,False,,False,False,-1.7587939698492372,,True,True,,,True,True,,,True,,,True,,,-1.8562814099999998,-1.47939698,-2.3587939698492373,,,,,,
2026-08-05,6488,環球晶,半導體業,KGI;President;SinoPac,3,True,False,False,False,37.0,57.6,26.70454545,4,-0.72992701,993.0,872.0,-12.18529708,-12.18529708,-13.52488228,,,,,True,False,False,otc,半導體製造與材料、矽晶圓,2.884965311874854,2.325147321547627,櫃買指數,2.325147321547627,False,0.6,False,,False,False,-12.1852970795569,,True,True,,,True,True,,,True,,,True,,,-12.78529708,-12.78529708,-12.7852970795569,,,,,,
