signal_date,entry_date,stock_id,股票名稱,strategy,策略名稱,signal_close,entry_close,whale_base_4w_pct,whale_current_pct,whale_change_4w_pp,whale_relative_change_pct,prior_20d_return_pct,return_20d,return_60d,return_120d
2016-12-02,2016-12-05,3679,新至陞,dip_10_20d_above_ma240,多頭回檔承接,92.798622,98.207131,65.530000,64.480000,-1.050000,-1.602320,-15.324675,0.014493,0.273913,0.323188
2016-12-02,2016-12-05,4532,瑞智,dip_10_20d_above_ma240,多頭回檔承接,58.437323,57.499325,77.770000,77.040000,-0.730000,-0.938665,-13.950276,0.053834,0.127243,0.112561
2016-12-02,2016-12-05,5904,寶雅,dip_10_20d_above_ma240,多頭回檔承接,799.276092,801.315061,90.140000,89.900000,-0.240000,-0.266252,-14.410480,-0.052163,-0.029262,0.053435
2016-12-02,2016-12-05,8069,元太,dip_10_20d_above_ma240,多頭回檔承接,30.179667,30.794185,60.680000,60.850000,0.170000,0.280158,-10.526316,0.028825,0.075388,0.334812
2016-12-02,2016-12-05,1101,台泥,ma20_support_uptrend,月線支撐,66.310766,65.595825,78.930000,79.080000,0.150000,0.190042,2.912621,-0.042234,0.021798,-0.064033
2016-12-02,2016-12-05,1229,聯華,ma20_support_uptrend,月線支撐,47.763868,46.711800,72.290000,71.540000,-0.750000,-1.037488,8.872902,-0.004505,0.056306,0.247748
2016-12-02,2016-12-05,1301,台塑,ma20_support_uptrend,月線支撐,177.573248,175.436152,87.490000,87.630000,0.140000,0.160018,7.276995,-0.002215,-0.019934,0.004430
2016-12-02,2016-12-05,1303,南亞,ma20_support_uptrend,月線支撐,123.531728,122.274865,85.520000,85.700000,0.180000,0.210477,6.666667,0.045521,0.030837,0.055800
2016-12-02,2016-12-05,1304,台聚,ma20_support_uptrend,月線支撐,38.426190,37.593425,56.750000,56.650000,-0.100000,-0.176211,7.308970,0.018987,0.047468,-0.041139
2016-12-02,2016-12-05,1305,華夏,ma20_support_uptrend,月線支撐,36.099378,35.430871,74.090000,75.510000,1.420000,1.916588,11.111111,-0.098113,0.094340,0.066038
2016-12-02,2016-12-05,1308,亞聚,ma20_support_uptrend,月線支撐,58.168520,57.250070,52.880000,52.170000,-0.710000,-1.342663,4.972376,0.024064,0.005348,-0.008021
2016-12-02,2016-12-05,1326,台化,ma20_support_uptrend,月線支撐,187.127834,185.421501,92.020000,92.030000,0.010000,0.010867,5.000000,-0.005112,-0.052147,-0.066462
2016-12-02,2016-12-05,1580,新麥,ma20_support_uptrend,月線支撐,357.710853,355.372874,66.120000,67.290000,1.170000,1.769510,9.677419,-0.069079,-0.131579,0.098684
2016-12-02,2016-12-05,1605,華新,ma20_support_uptrend,月線支撐,18.588285,18.167418,69.280000,69.230000,-0.050000,-0.072171,22.685185,-0.100386,0.115830,-0.023166
2016-12-02,2016-12-05,1708,東鹼,ma20_support_uptrend,月線支撐,40.703970,40.627888,39.230000,39.020000,-0.210000,-0.535305,10.309278,0.014981,0.117978,0.058052
2016-12-02,2016-12-05,2002,中鋼,ma20_support_uptrend,月線支撐,55.584647,55.473478,56.130000,57.380000,1.250000,2.226973,10.619469,-0.020040,0.016032,-0.020040
2016-12-02,2016-12-05,2006,東和鋼鐵,ma20_support_uptrend,月線支撐,40.721655,41.475760,64.320000,64.710000,0.390000,0.606343,7.730673,-0.038636,0.072727,0.075000
2016-12-02,2016-12-05,2010,春源,ma20_support_uptrend,月線支撐,25.135578,25.239016,63.630000,63.810000,0.180000,0.282885,13.023256,-0.045082,0.049180,-0.016393
2016-12-02,2016-12-05,2020,美亞,ma20_support_uptrend,月線支撐,30.449242,29.541814,68.400000,66.010000,-2.390000,-3.494152,17.509728,-0.071672,-0.006826,-0.088737
2016-12-02,2016-12-05,2027,大成鋼,ma20_support_uptrend,月線支撐,39.149510,39.149510,60.290000,60.880000,0.590000,0.978603,11.656442,-0.016484,-0.008242,-0.090659
2016-12-02,2016-12-05,2030,彰源,ma20_support_uptrend,月線支撐,20.923093,21.019959,53.820000,52.680000,-1.140000,-2.118172,15.384615,-0.036866,0.115207,0.078341
2016-12-02,2016-12-05,2104,國際中橡,ma20_support_uptrend,月線支撐,53.268944,52.683571,57.170000,56.980000,-0.190000,-0.332342,10.303030,0.072222,0.124074,0.125926
2016-12-02,2016-12-05,2301,光寶科,ma20_support_uptrend,月線支撐,85.316026,85.316026,79.220000,79.900000,0.680000,0.858369,12.045455,-0.025355,0.022312,0.014199
2016-12-02,2016-12-05,2351,順德,ma20_support_uptrend,月線支撐,67.192720,67.192720,62.880000,61.340000,-1.540000,-2.449109,8.421053,0.003641,0.254854,0.245146
2016-12-02,2016-12-05,2352,佳世達,ma20_support_uptrend,月線支撐,13.956612,14.185409,47.890000,50.430000,2.540000,5.303821,9.318996,-0.006452,0.051613,0.567742
2016-12-02,2016-12-05,2371,大同,ma20_support_uptrend,月線支撐,4.079531,3.986719,59.960000,62.820000,2.860000,4.769847,16.225962,0.016931,0.365079,0.312169
2016-12-02,2016-12-05,2404,漢唐,ma20_support_uptrend,月線支撐,121.577601,121.577601,47.210000,46.930000,-0.280000,-0.593095,2.795699,0.046025,0.244770,0.504184
2016-12-02,2016-12-05,2448,名稱待補,ma20_support_uptrend,月線支撐,34.605250,34.310109,40.950000,44.040000,3.090000,7.545788,12.740385,-0.008602,0.217204,0.346237
