結果,one_jump_count,單週大戶增加平均(pp),單週大戶增加中位(pp),four_jump_count,四週大戶增加平均(pp),四週大戶增加中位(pp),whale_lag4_pct_count,4週前大戶比例平均(%),whale_lag4_pct_median,whale_lag1_pct_count,1週前大戶比例平均(%),whale_lag1_pct_median,prior_loss_count,跳升前流失平均(pp),prior_loss_median,daily_value_20d_count,20日平均成交額,daily_value_20d_median,prior_20d_return_pct_count,前20日股價報酬平均(%),prior_20d_return_pct_median,drawdown_60d_pct_count,前60日回檔平均(%),drawdown_60d_pct_median,selected_lot_bucket_count,大戶級距平均(張),selected_lot_bucket_median,distance_ma20_pct_count,相對月線平均(%),distance_ma20_pct_median,whale_relative_change_pct_count,四週大戶相對增加平均(%),whale_relative_change_pct_median,excess_0050_10d_count,10日超額平均(%),10日超額中位(%)
勝過0050,79,2.82,2.57,79,4.57,4.45,79,27.49,28.59,79,29.25,30.83,79,-0.5,-0.23,79,468442091.14,163278765.85,79,24.79,21.92,79,0.0,0.0,79,850.63,1000.0,79,13.88,12.92,79,18.8,13.46,79,0.1,0.07
落後0050,70,2.67,2.2,70,4.52,3.92,70,28.31,29.92,70,30.16,31.83,70,-0.73,-0.39,70,248124878.77,112542547.58,70,20.27,18.23,70,0.0,0.0,70,818.57,1000.0,70,12.27,11.76,70,17.67,15.12,70,-0.07,-0.05
