signal_date,entry_date,stock_id,strategy,signal_close,entry_close,whale_base_4w_pct,whale_current_pct,whale_change_4w_pp,whale_relative_change_pct,selected_lot_bucket,daily_value_20d,prior_20d_return_pct,distance_ma20_pct,distance_ma60_pct,company_name,strategy_name,strategy_description,daily_value_20d_m
2026-07-03,2026-07-06,6234,pullback_20_30,105.862789,107.791464,51.450000,51.450000,0.000000,0.000000,800,80707426.350000,6.465517,8.043086,6.507600,高僑,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,80.707426
2026-07-03,2026-07-06,6244,pullback_20_30,35.980118,36.443097,29.350000,27.440000,-1.910000,-6.507666,1000,319976653.250000,-9.933775,-4.149414,-4.636690,茂迪,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,319.976653
2026-07-03,2026-07-06,6261,pullback_20_30,355.041259,349.528196,43.200000,43.700000,0.500000,1.157407,200,162682506.500000,-9.719626,-0.175674,-5.491782,久元,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,162.682506
2026-07-03,2026-07-06,6269,pullback_20_30,223.387711,223.053298,33.970000,32.380000,-1.590000,-4.680601,400,913654154.200000,-6.573427,-7.862069,-0.052368,台郡,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,913.654154
2026-07-03,2026-07-06,6291,pullback_20_30,45.788408,44.416471,62.850000,62.850000,0.000000,0.000000,1000,661213643.200000,-9.491525,-4.034504,4.188345,沛亨,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,661.213643
2026-07-03,2026-07-06,6405,pullback_20_30,88.611963,87.754428,39.370000,37.700000,-1.670000,-4.241808,1000,118551706.150000,-21.518987,-6.422157,6.196206,悅城,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,118.551706
2026-07-03,2026-07-06,6419,pullback_20_30,89.834710,92.279192,32.170000,32.170000,0.000000,0.000000,800,57625749.000000,2.083333,2.887139,2.748104,京晨科,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,57.625749
2026-07-03,2026-07-06,6425,pullback_20_30,89.236048,91.357744,37.390000,37.470000,0.080000,0.213961,800,59987330.400000,-13.907002,-4.746496,-12.446919,易發,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,59.987330
2026-07-03,2026-07-06,6449,pullback_20_30,549.511576,515.069255,84.300000,81.770000,-2.530000,-3.001186,100,911616058.800000,-7.972099,-7.455831,24.580341,鈺邦,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,911.616059
2026-07-03,2026-07-06,6451,pullback_20_30,745.122906,714.933765,81.750000,75.590000,-6.160000,-7.535168,100,3684803878.200000,-20.147059,-4.665760,3.075171,訊芯-KY,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,3684.803878
2026-07-03,2026-07-06,6456,pullback_20_30,91.873974,97.487734,49.180000,44.360000,-4.820000,-9.800732,800,529210046.500000,-21.976744,-7.128028,-8.080093,GIS-KY,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,529.210046
2026-07-03,2026-07-06,6510,pullback_20_30,3862.868172,3566.171972,70.220000,73.510000,3.290000,4.685275,100,2422700392.500000,-5.278174,-2.281089,-5.837863,精測,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,2422.700392
2026-07-03,2026-07-06,6546,pullback_20_30,85.407327,88.038925,29.910000,29.910000,0.000000,0.000000,1000,33665449.600000,-7.989691,-1.788171,-0.746027,正基,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,33.665450
2026-07-03,2026-07-06,6547,pullback_20_30,68.612598,71.055118,28.900000,28.280000,-0.620000,-2.145329,1000,94676281.300000,-7.021063,0.476913,-3.151663,高端疫苗,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,94.676281
2026-07-03,2026-07-06,6603,pullback_20_30,57.924122,60.877117,38.750000,39.230000,0.480000,1.238710,1000,41349874.600000,6.694561,9.254499,7.353354,富強鑫,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,41.349875
2026-07-03,2026-07-06,6643,pullback_20_30,755.521564,734.083085,47.500000,46.650000,-0.850000,-1.789474,100,254357780.200000,-8.912656,4.648781,-6.545759,M31,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,254.357780
2026-07-03,2026-07-06,6679,pullback_20_30,320.852818,317.281173,68.510000,68.090000,-0.420000,-0.613049,200,84094960.650000,-6.097561,-1.128130,-5.886763,鈺太,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,84.094961
2026-07-03,2026-07-06,6683,pullback_20_30,2144.905846,2115.198009,47.820000,49.010000,1.190000,2.488499,100,2504554869.250000,7.440476,8.898944,-0.801466,雍智科技,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,2504.554869
2026-07-03,2026-07-06,6706,pullback_20_30,184.846252,176.444150,35.530000,29.070000,-6.460000,-18.181818,400,516933711.600000,-20.822622,-4.702970,-6.192893,惠特,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,516.933712
