signal_date,entry_date,stock_id,strategy,signal_close,entry_close,whale_base_4w_pct,whale_current_pct,whale_change_4w_pp,whale_relative_change_pct,selected_lot_bucket,daily_value_20d,prior_20d_return_pct,distance_ma20_pct,distance_ma60_pct,prev_day_limit_down,prev_day_single_limit_down,company_name,strategy_name,strategy_description,daily_value_20d_m
2026-07-17,,2401,dip_10_20d_above_ma240,64.950175,,35.500000,37.330000,1.830000,5.154930,1000,474962152.750000,-13.015873,-14.794371,-4.590564,False,False,凌陽,多頭回檔承接,近20日回檔10–20%，但仍站在240日均線之上。,474.962153
2026-07-17,,2436,dip_10_20d_above_ma240,94.630222,,19.730000,21.340000,1.610000,8.160162,800,398352109.400000,-15.561264,-17.320168,-18.232768,False,False,偉詮電,多頭回檔承接,近20日回檔10–20%，但仍站在240日均線之上。,398.352109
2026-07-17,,4989,dip_10_20d_above_ma240,85.380671,,17.150000,20.440000,3.290000,19.183673,1000,1326739493.250000,-12.655087,-21.903600,-25.331448,False,False,榮科,多頭回檔承接,近20日回檔10–20%，但仍站在240日均線之上。,1326.739493
