價格結構,大戶路徑,增加門檻(百分點),原始比例上限(%),跳升前允許流失(百分點),穩健分數,訓練期2017–2021_n,訓練期2017–2021_weeks,訓練期2017–2021_mean,訓練期2017–2021_median,訓練期2017–2021_win,訓練期2017–2021_weekly,驗證期2022–2023_n,驗證期2022–2023_weeks,驗證期2022–2023_mean,驗證期2022–2023_median,驗證期2022–2023_win,驗證期2022–2023_weekly,最終驗證2024–2025_n,最終驗證2024–2025_weeks,最終驗證2024–2025_mean,最終驗證2024–2025_median,最終驗證2024–2025_win,最終驗證2024–2025_weekly
breakout_20d,兩週,2.5,40,1.0,0.87,150,104,0.32,-0.38,46.67,-0.08,85,52,1.93,0.99,52.94,2.71,82,51,0.58,-1.47,37.8,0.76
breakout_60d,兩週,1.5,25,0.5,0.82,56,51,0.1,-1.86,44.64,0.02,36,26,1.54,1.02,52.78,0.98,31,25,1.65,-1.37,41.94,1.57
breakout_20d,兩週,1.0,25,1.0,0.8,131,92,1.03,-1.34,45.04,0.66,83,47,1.68,-0.29,49.4,2.27,73,43,0.22,-2.15,38.36,0.43
breakout_60d,單週,1.5,40,0.5,0.79,111,80,0.1,-1.05,47.75,-0.43,54,32,2.22,0.41,50.0,1.67,49,38,0.7,-2.15,40.82,1.31
breakout_60d,兩週,1.0,25,1.0,0.77,83,67,0.5,-1.35,46.99,0.83,50,36,2.16,-0.53,48.0,1.93,39,30,1.28,-2.21,38.46,0.55
breakout_60d,單週,0.75,40,0.5,0.75,209,127,0.36,-0.82,46.41,0.22,101,53,1.67,0.73,52.48,1.02,96,60,2.0,-1.71,43.75,1.0
dip_5_10d_above_ma240,四週,3.0,40,1.0,0.73,84,67,-0.5,-0.97,45.24,-0.22,35,28,2.85,-1.17,37.14,2.51,34,28,0.59,-1.76,41.18,0.25
dip_5_10d_above_ma240,四週,3.0,40,0.0,0.73,84,67,-0.5,-0.97,45.24,-0.22,35,28,2.85,-1.17,37.14,2.51,34,28,0.59,-1.76,41.18,0.25
dip_5_10d_above_ma240,四週,3.0,40,0.5,0.73,84,67,-0.5,-0.97,45.24,-0.22,35,28,2.85,-1.17,37.14,2.51,34,28,0.59,-1.76,41.18,0.25
breakout_20d,兩週,1.5,40,0.0,0.73,312,158,0.28,-0.81,45.19,-0.32,151,67,1.61,0.52,51.66,1.75,151,72,0.59,-1.78,40.4,1.06
ma20_reclaim_uptrend,四週,1.0,25,0.5,0.71,38,32,0.44,-2.09,34.21,1.18,23,17,1.89,-1.08,47.83,3.08,19,15,0.06,-2.39,31.58,0.03
ma20_reclaim_uptrend,四週,1.0,25,0.0,0.71,38,32,0.44,-2.09,34.21,1.18,23,17,1.89,-1.08,47.83,3.08,19,15,0.06,-2.39,31.58,0.03
ma20_reclaim_uptrend,四週,1.0,25,1.0,0.71,38,32,0.44,-2.09,34.21,1.18,23,17,1.89,-1.08,47.83,3.08,19,15,0.06,-2.39,31.58,0.03
breakout_20d,單週,1.0,40,0.5,0.69,223,126,0.11,-0.82,43.5,-0.46,116,59,1.51,-0.31,48.28,2.23,100,58,0.89,-2.53,39.0,0.8
breakout_60d,兩週,1.5,25,1.0,0.67,58,53,-0.11,-2.1,43.1,-0.21,37,27,1.32,0.61,51.35,0.7,31,25,1.65,-1.37,41.94,1.57
breakout_20d,兩週,1.5,25,0.5,0.66,82,69,0.09,-1.69,42.68,0.26,55,36,1.89,1.44,54.55,1.57,49,32,0.46,-1.54,36.73,1.14
breakout_60d,兩週,1.0,40,0.0,0.65,333,161,-0.16,-1.91,43.54,-0.11,146,67,1.77,-0.23,49.32,2.02,143,67,0.51,-2.97,36.36,1.0
dip_5_10d_above_ma240,兩週,3.0,40,0.5,0.64,35,31,-1.25,-2.03,42.86,-0.62,17,16,0.15,-1.5,41.18,1.0,18,16,1.81,-0.24,50.0,1.13
breakout_60d,單週,1.5,40,1.0,0.63,120,85,-0.01,-1.09,47.5,-0.4,61,33,2.42,1.39,54.1,2.35,61,44,-0.02,-2.55,39.34,0.48
breakout_20d,四週,3.0,25,1.0,0.63,35,33,-0.42,-2.71,42.86,-0.5,39,28,3.26,1.25,56.41,3.42,23,18,-0.24,-5.03,34.78,0.17
breakout_20d,四週,3.0,25,0.0,0.63,35,33,-0.42,-2.71,42.86,-0.5,39,28,3.26,1.25,56.41,3.42,23,18,-0.24,-5.03,34.78,0.17
breakout_20d,四週,3.0,25,0.5,0.63,35,33,-0.42,-2.71,42.86,-0.5,39,28,3.26,1.25,56.41,3.42,23,18,-0.24,-5.03,34.78,0.17
breakout_20d,單週,0.75,40,0.5,0.62,294,149,0.21,-1.14,42.18,-0.29,142,65,1.13,-0.33,47.89,1.84,136,68,0.79,-1.97,41.91,0.51
breakout_20d,單週,2.5,40,0.5,0.61,49,44,-0.72,-1.05,42.86,-0.56,30,23,0.55,0.35,50.0,-0.09,27,21,1.67,-2.08,44.44,2.37
breakout_20d,兩週,1.5,40,0.5,0.57,330,163,-0.04,-1.07,44.55,-0.67,157,69,1.52,0.52,51.59,1.64,158,72,0.47,-1.81,39.87,1.04
breakout_20d,兩週,1.0,40,0.0,0.56,483,187,0.02,-1.64,42.24,-0.33,227,78,1.43,0.12,50.66,2.43,217,78,0.32,-2.52,38.25,0.32
ma20_reclaim_uptrend,四週,1.5,40,0.0,0.55,96,67,1.0,-2.0,40.62,0.75,42,29,0.62,-1.84,42.86,1.49,41,31,0.67,-2.01,41.46,0.04
ma20_reclaim_uptrend,四週,1.5,40,1.0,0.55,96,67,1.0,-2.0,40.62,0.75,42,29,0.62,-1.84,42.86,1.49,41,31,0.67,-2.01,41.46,0.04
ma20_reclaim_uptrend,四週,1.5,40,0.5,0.55,96,67,1.0,-2.0,40.62,0.75,42,29,0.62,-1.84,42.86,1.49,41,31,0.67,-2.01,41.46,0.04
dip_5_10d_above_ma240,兩週,3.0,40,1.0,0.54,37,33,-1.57,-2.15,40.54,-1.02,18,17,0.18,-1.03,44.44,0.99,18,16,1.81,-0.24,50.0,1.13
breakout_20d,兩週,1.5,25,1.0,0.54,84,71,-0.05,-1.79,41.67,0.09,56,37,1.74,1.44,53.57,1.36,49,32,0.46,-1.54,36.73,1.14
breakout_20d,單週,0.75,40,1.0,0.51,345,164,0.16,-1.14,42.32,-0.33,166,69,1.26,-0.33,48.19,2.1,170,73,0.14,-2.12,38.82,0.43
breakout_20d,兩週,1.5,40,1.0,0.5,336,165,-0.13,-1.24,44.05,-0.78,158,69,1.47,0.42,51.27,1.53,158,72,0.47,-1.81,39.87,1.04
