價格結構,大戶路徑,增加門檻(百分點),原始比例上限(%),跳升前允許流失(百分點),穩健分數,訓練期2017–2021_n,訓練期2017–2021_weeks,訓練期2017–2021_mean,訓練期2017–2021_median,訓練期2017–2021_win,訓練期2017–2021_weekly,驗證期2022–2023_n,驗證期2022–2023_weeks,驗證期2022–2023_mean,驗證期2022–2023_median,驗證期2022–2023_win,驗證期2022–2023_weekly,最終驗證2024–2025_n,最終驗證2024–2025_weeks,最終驗證2024–2025_mean,最終驗證2024–2025_median,最終驗證2024–2025_win,最終驗證2024–2025_weekly
breakout_20d,四週,1.5,25,0.0,-0.82,114,88,0.79,-1.9,40.35,0.59,77,46,1.93,0.12,50.65,1.39,59,38,-1.45,-3.0,33.9,-0.38
breakout_20d,四週,1.5,25,0.5,-0.82,114,88,0.79,-1.9,40.35,0.59,77,46,1.93,0.12,50.65,1.39,59,38,-1.45,-3.0,33.9,-0.38
breakout_20d,四週,1.5,25,1.0,-0.82,114,88,0.79,-1.9,40.35,0.59,77,46,1.93,0.12,50.65,1.39,59,38,-1.45,-3.0,33.9,-0.38
breakout_20d,四週,2.5,25,0.5,-0.88,53,49,-0.22,-1.01,43.4,-0.4,46,33,1.66,0.75,52.17,1.53,27,21,-0.79,-5.03,33.33,-0.31
breakout_20d,四週,2.5,25,1.0,-0.88,53,49,-0.22,-1.01,43.4,-0.4,46,33,1.66,0.75,52.17,1.53,27,21,-0.79,-5.03,33.33,-0.31
breakout_20d,四週,2.5,25,0.0,-0.88,53,49,-0.22,-1.01,43.4,-0.4,46,33,1.66,0.75,52.17,1.53,27,21,-0.79,-5.03,33.33,-0.31
breakout_60d,兩週,2.0,40,1.0,-0.89,169,110,0.13,-0.81,47.34,-0.49,87,51,1.16,-0.29,49.43,0.78,78,47,-0.54,-3.03,33.33,-0.19
breakout_60d,單週,0.75,25,1.0,-1.28,49,41,0.27,-1.64,44.9,0.23,34,23,3.38,1.46,58.82,3.5,27,21,0.15,-3.0,37.04,-0.9
breakout_60d,四週,1.0,25,1.0,-1.7,97,78,-0.7,-2.71,40.21,-0.15,65,42,2.06,-0.29,47.69,1.24,51,33,-0.5,-2.76,37.25,-0.71
breakout_60d,四週,1.0,25,0.0,-1.7,97,78,-0.7,-2.71,40.21,-0.15,65,42,2.06,-0.29,47.69,1.24,51,33,-0.5,-2.76,37.25,-0.71
breakout_60d,四週,1.0,25,0.5,-1.7,97,78,-0.7,-2.71,40.21,-0.15,65,42,2.06,-0.29,47.69,1.24,51,33,-0.5,-2.76,37.25,-0.71
dip_5_10d_above_ma240,兩週,2.5,40,0.0,-1.71,63,51,-1.08,-1.0,42.86,-0.24,21,21,-0.09,-2.51,38.1,-0.09,28,23,0.1,-0.05,50.0,-0.62
breakout_20d,四週,1.0,25,1.0,-1.85,148,103,0.11,-2.07,39.86,-0.22,103,50,1.16,-0.52,46.6,0.99,81,47,-1.02,-2.76,35.8,-0.7
breakout_20d,四週,1.0,25,0.5,-1.85,148,103,0.11,-2.07,39.86,-0.22,103,50,1.16,-0.52,46.6,0.99,81,47,-1.02,-2.76,35.8,-0.7
breakout_20d,四週,1.0,25,0.0,-1.85,148,103,0.11,-2.07,39.86,-0.22,103,50,1.16,-0.52,46.6,0.99,81,47,-1.02,-2.76,35.8,-0.7
dip_5_10d_above_ma240,四週,1.5,25,0.5,-2.11,76,62,-0.75,-1.5,46.05,-1.57,37,32,4.55,0.53,51.35,4.48,48,36,-0.94,-2.06,33.33,-1.12
dip_5_10d_above_ma240,四週,1.5,25,1.0,-2.11,76,62,-0.75,-1.5,46.05,-1.57,37,32,4.55,0.53,51.35,4.48,48,36,-0.94,-2.06,33.33,-1.12
dip_5_10d_above_ma240,四週,1.5,25,0.0,-2.11,76,62,-0.75,-1.5,46.05,-1.57,37,32,4.55,0.53,51.35,4.48,48,36,-0.94,-2.06,33.33,-1.12
breakout_20d,單週,1.5,25,1.0,-2.28,36,29,-0.66,-1.04,41.67,-1.01,27,17,3.79,1.49,55.56,3.63,22,16,-2.95,-4.98,22.73,-0.91
dip_5_10d_above_ma240,兩週,2.0,40,0.0,-2.31,91,71,-1.53,-2.03,39.56,-1.01,34,30,-0.58,-1.91,41.18,-0.46,35,30,0.06,-0.52,48.57,-0.5
dip_5_10d_above_ma240,兩週,1.0,25,0.5,-2.6,79,65,-1.25,-1.72,36.71,-1.45,32,26,-1.24,0.5,56.25,-0.17,48,33,-0.51,-1.97,33.33,-0.56
dip_5_10d_above_ma240,兩週,1.0,25,1.0,-2.63,81,67,-1.36,-2.09,35.8,-1.58,32,26,-1.24,0.5,56.25,-0.17,48,33,-0.51,-1.97,33.33,-0.56
breakout_20d,兩週,2.0,25,0.0,-2.83,47,43,2.41,1.56,55.32,2.67,39,27,2.07,0.61,51.28,2.87,27,22,-2.04,-4.07,29.63,-1.55
dip_5_10d_above_ma240,單週,0.75,25,1.0,-2.95,37,33,0.06,-1.63,40.54,-1.07,16,15,2.2,1.38,62.5,1.35,24,22,-1.03,-2.04,33.33,-1.07
dip_5_10d_above_ma240,兩週,2.5,40,1.0,-3.14,67,54,-1.3,-1.29,41.79,-0.55,24,22,-1.39,-3.15,37.5,-0.83,30,25,0.06,-0.23,50.0,-0.62
dip_5_10d_above_ma240,兩週,1.0,25,0.0,-3.26,75,61,-1.1,-1.72,38.67,-1.28,29,25,0.15,0.73,62.07,0.56,40,31,-0.73,-2.3,32.5,-1.05
dip_5_10d_above_ma240,兩週,2.5,40,0.5,-3.29,65,52,-1.12,-1.0,43.08,-0.29,23,22,-1.48,-3.79,34.78,-0.94,30,25,0.06,-0.23,50.0,-0.62
breakout_20d,兩週,2.0,25,0.5,-3.36,50,46,1.85,0.97,52.0,2.04,44,32,1.27,0.16,50.0,1.64,28,23,-1.99,-2.81,28.57,-1.51
breakout_20d,兩週,2.0,25,1.0,-3.5,51,47,1.64,0.69,50.98,1.82,45,33,1.1,-0.29,48.89,1.39,28,23,-1.99,-2.81,28.57,-1.51
breakout_60d,四週,2.5,25,1.0,-3.6,41,38,-0.13,-2.09,46.34,-0.29,35,27,2.09,1.25,57.14,1.57,18,15,-1.25,-6.98,33.33,-1.45
breakout_60d,四週,2.5,25,0.0,-3.6,41,38,-0.13,-2.09,46.34,-0.29,35,27,2.09,1.25,57.14,1.57,18,15,-1.25,-6.98,33.33,-1.45
breakout_60d,四週,2.5,25,0.5,-3.6,41,38,-0.13,-2.09,46.34,-0.29,35,27,2.09,1.25,57.14,1.57,18,15,-1.25,-6.98,33.33,-1.45
dip_5_10d_above_ma240,四週,2.5,40,0.0,-3.7,120,92,-0.76,-1.06,41.67,-0.49,43,33,3.14,-0.57,41.86,2.96,47,34,-1.05,-1.99,34.04,-1.69
dip_5_10d_above_ma240,四週,2.5,40,1.0,-3.7,120,92,-0.76,-1.06,41.67,-0.49,43,33,3.14,-0.57,41.86,2.96,47,34,-1.05,-1.99,34.04,-1.69
dip_5_10d_above_ma240,四週,2.5,40,0.5,-3.7,120,92,-0.76,-1.06,41.67,-0.49,43,33,3.14,-0.57,41.86,2.96,47,34,-1.05,-1.99,34.04,-1.69
dip_5_10d_above_ma240,兩週,2.0,40,1.0,-3.87,104,78,-1.64,-1.89,37.5,-1.14,37,31,-1.38,-2.33,40.54,-0.97,38,32,-0.0,-0.78,47.37,-0.74
dip_5_10d_above_ma240,兩週,2.0,40,0.5,-3.97,100,76,-1.5,-1.53,39.0,-0.97,36,31,-1.44,-2.42,38.89,-1.05,38,32,-0.0,-0.78,47.37,-0.74
dip_5_10d_above_ma240,兩週,1.5,25,0.0,-4.17,45,39,-3.23,-4.13,31.11,-2.96,20,18,-1.39,-0.53,45.0,-0.97,27,23,-0.09,-1.99,44.44,-0.68
ma20_reclaim_uptrend,四週,2.0,40,0.5,-4.58,67,47,1.19,-1.82,41.79,0.86,31,24,1.38,-2.06,41.94,1.57,28,22,-1.23,-2.88,35.71,-2.03
ma20_reclaim_uptrend,四週,2.0,40,0.0,-4.58,67,47,1.19,-1.82,41.79,0.86,31,24,1.38,-2.06,41.94,1.57,28,22,-1.23,-2.88,35.71,-2.03
ma20_reclaim_uptrend,四週,2.0,40,1.0,-4.58,67,47,1.19,-1.82,41.79,0.86,31,24,1.38,-2.06,41.94,1.57,28,22,-1.23,-2.88,35.71,-2.03
breakout_60d,兩週,2.0,25,0.0,-4.67,37,35,2.22,1.56,54.05,2.32,26,20,3.04,1.61,57.69,3.75,16,15,-2.91,-5.88,31.25,-2.45
breakout_20d,四週,2.0,25,0.0,-4.71,73,63,-0.03,-1.13,42.47,-0.24,57,39,1.29,0.61,50.88,0.99,35,27,-2.09,-5.43,28.57,-1.74
breakout_20d,四週,2.0,25,1.0,-4.71,73,63,-0.03,-1.13,42.47,-0.24,57,39,1.29,0.61,50.88,0.99,35,27,-2.09,-5.43,28.57,-1.74
breakout_20d,四週,2.0,25,0.5,-4.71,73,63,-0.03,-1.13,42.47,-0.24,57,39,1.29,0.61,50.88,0.99,35,27,-2.09,-5.43,28.57,-1.74
dip_5_10d_above_ma240,兩週,1.5,40,0.0,-4.81,144,99,-1.19,-1.65,40.28,-1.26,55,38,-0.8,-2.33,38.18,-1.14,56,42,-1.1,-1.64,44.64,-0.99
breakout_60d,兩週,2.0,25,0.5,-5.25,38,36,1.98,1.4,52.63,2.07,30,24,1.47,1.02,53.33,1.68,17,16,-2.76,-5.03,29.41,-2.32
dip_5_10d_above_ma240,兩週,1.5,40,1.0,-5.26,169,109,-1.48,-2.13,36.69,-1.62,63,41,-1.7,-2.44,36.51,-1.68,64,43,-0.27,-0.57,46.88,-0.73
dip_5_10d_above_ma240,兩週,1.5,40,0.5,-5.41,165,108,-1.39,-2.03,37.58,-1.56,60,39,-1.79,-2.55,35.0,-1.77,64,43,-0.27,-0.57,46.88,-0.73
breakout_60d,兩週,2.0,25,1.0,-5.44,39,37,1.71,1.25,51.28,1.78,31,25,1.22,0.61,51.61,1.35,17,16,-2.76,-5.03,29.41,-2.32
dip_5_10d_above_ma240,兩週,1.0,40,1.0,-5.6,294,151,-0.94,-1.81,38.78,-1.09,96,53,-0.84,-1.81,42.71,-1.2,104,54,-0.79,-1.41,37.5,-1.14
dip_5_10d_above_ma240,四週,1.0,40,0.0,-5.67,411,176,-0.62,-1.0,44.04,-0.84,153,65,0.39,-0.47,45.1,0.37,178,69,-1.73,-2.88,31.46,-2.05
dip_5_10d_above_ma240,四週,1.0,40,0.5,-5.67,411,176,-0.62,-1.0,44.04,-0.84,153,65,0.39,-0.47,45.1,0.37,178,69,-1.73,-2.88,31.46,-2.05
dip_5_10d_above_ma240,四週,1.0,40,1.0,-5.67,411,176,-0.62,-1.0,44.04,-0.84,153,65,0.39,-0.47,45.1,0.37,178,69,-1.73,-2.88,31.46,-2.05
breakout_60d,四週,2.0,25,0.0,-5.69,52,47,0.04,-1.86,44.23,0.11,42,32,1.48,1.06,54.76,0.75,23,18,-2.23,-7.22,30.43,-2.19
breakout_60d,四週,2.0,25,0.5,-5.69,52,47,0.04,-1.86,44.23,0.11,42,32,1.48,1.06,54.76,0.75,23,18,-2.23,-7.22,30.43,-2.19
breakout_60d,四週,2.0,25,1.0,-5.69,52,47,0.04,-1.86,44.23,0.11,42,32,1.48,1.06,54.76,0.75,23,18,-2.23,-7.22,30.43,-2.19
dip_5_10d_above_ma240,兩週,1.5,25,0.5,-5.89,47,41,-3.17,-3.32,29.79,-2.89,23,19,-3.12,-2.09,39.13,-1.87,30,23,-0.13,-0.84,43.33,-0.67
dip_5_10d_above_ma240,兩週,1.5,25,1.0,-5.92,49,43,-3.27,-4.13,28.57,-3.03,23,19,-3.12,-2.09,39.13,-1.87,30,23,-0.13,-0.84,43.33,-0.67
dip_5_10d_above_ma240,四週,1.0,25,1.0,-6.0,118,88,-0.71,-1.41,44.07,-1.44,50,40,3.86,1.0,56.0,3.78,70,46,-2.14,-3.39,25.71,-2.5
dip_5_10d_above_ma240,四週,1.0,25,0.5,-6.0,118,88,-0.71,-1.41,44.07,-1.44,50,40,3.86,1.0,56.0,3.78,70,46,-2.14,-3.39,25.71,-2.5
dip_5_10d_above_ma240,四週,1.0,25,0.0,-6.0,118,88,-0.71,-1.41,44.07,-1.44,50,40,3.86,1.0,56.0,3.78,70,46,-2.14,-3.39,25.71,-2.5
dip_5_10d_above_ma240,四週,2.0,40,0.0,-6.22,184,119,-0.61,-1.24,42.39,-1.19,64,44,1.7,-0.57,40.62,1.42,68,43,-0.9,-2.19,33.82,-2.44
dip_5_10d_above_ma240,四週,2.0,40,1.0,-6.22,184,119,-0.61,-1.24,42.39,-1.19,64,44,1.7,-0.57,40.62,1.42,68,43,-0.9,-2.19,33.82,-2.44
dip_5_10d_above_ma240,四週,2.0,40,0.5,-6.22,184,119,-0.61,-1.24,42.39,-1.19,64,44,1.7,-0.57,40.62,1.42,68,43,-0.9,-2.19,33.82,-2.44
dip_5_10d_above_ma240,四週,1.5,40,0.5,-6.35,266,143,-0.82,-1.46,43.23,-1.45,99,57,0.54,-1.03,39.39,0.8,120,56,-1.7,-2.58,33.33,-2.37
dip_5_10d_above_ma240,四週,1.5,40,0.0,-6.35,266,143,-0.82,-1.46,43.23,-1.45,99,57,0.54,-1.03,39.39,0.8,120,56,-1.7,-2.58,33.33,-2.37
dip_5_10d_above_ma240,四週,1.5,40,1.0,-6.35,266,143,-0.82,-1.46,43.23,-1.45,99,57,0.54,-1.03,39.39,0.8,120,56,-1.7,-2.58,33.33,-2.37
dip_5_10d_above_ma240,兩週,1.0,40,0.5,-6.35,290,151,-0.88,-1.75,39.31,-1.06,91,53,-0.92,-2.09,41.76,-1.46,102,53,-0.81,-1.41,37.25,-1.25
dip_5_10d_above_ma240,兩週,1.0,40,0.0,-6.89,256,144,-0.82,-1.69,41.41,-0.88,83,51,-0.42,-1.5,44.58,-0.99,86,50,-1.56,-1.99,34.88,-1.8
dip_5_10d_above_ma240,單週,0.75,40,1.0,-7.42,148,98,-1.1,-1.67,43.92,-1.62,46,37,0.75,-0.03,50.0,0.24,53,36,-3.04,-2.74,24.53,-2.53
ma20_reclaim_uptrend,兩週,1.0,40,1.0,-7.43,87,66,0.59,-1.19,40.23,0.87,34,27,0.03,-1.84,38.24,-0.27,22,17,-2.95,-3.0,31.82,-2.71
dip_5_10d_above_ma240,單週,0.75,40,0.5,-7.48,115,84,-1.34,-1.63,44.35,-1.96,33,32,0.65,-0.17,48.48,0.63,46,31,-3.1,-2.82,23.91,-2.57
ma20_reclaim_uptrend,四週,2.5,40,0.5,-7.49,39,31,0.76,-3.49,35.9,-0.43,24,21,2.41,-2.29,41.67,2.38,21,16,-2.97,-3.37,28.57,-3.08
ma20_reclaim_uptrend,四週,2.5,40,1.0,-7.49,39,31,0.76,-3.49,35.9,-0.43,24,21,2.41,-2.29,41.67,2.38,21,16,-2.97,-3.37,28.57,-3.08
ma20_reclaim_uptrend,四週,2.5,40,0.0,-7.49,39,31,0.76,-3.49,35.9,-0.43,24,21,2.41,-2.29,41.67,2.38,21,16,-2.97,-3.37,28.57,-3.08
ma20_reclaim_uptrend,兩週,1.0,40,0.0,-8.66,64,51,0.34,-1.38,37.5,0.05,26,23,-0.35,-1.58,42.31,-0.39,16,13,-3.26,-3.34,31.25,-3.03
dip_5_10d_above_ma240,單週,1.0,40,1.0,-8.77,101,77,-1.22,-2.09,42.57,-1.33,36,30,1.71,0.39,52.78,1.24,37,29,-3.61,-2.74,24.32,-3.27
dip_5_10d_above_ma240,單週,1.0,40,0.5,-8.82,83,65,-1.58,-1.66,43.37,-2.21,26,26,2.04,1.1,53.85,2.04,32,25,-3.59,-2.61,25.0,-3.33
ma20_reclaim_uptrend,兩週,1.0,40,0.5,-9.43,84,66,0.63,-1.38,40.48,0.87,33,27,-0.78,-2.06,36.36,-0.61,20,15,-3.38,-3.0,30.0,-3.24
dip_5_10d_above_ma240,單週,1.0,40,0.0,-11.11,47,37,-0.91,-1.63,46.81,-1.46,17,17,0.48,-0.5,41.18,0.48,19,15,-3.51,-1.99,26.32,-4.16
dip_5_10d_above_ma240,單週,0.75,40,0.0,-12.16,69,54,-0.58,-0.75,47.83,-1.06,21,21,-0.47,-1.5,33.33,-0.47,29,20,-3.61,-2.13,24.14,-4.16
dip_5_10d_above_ma240,單週,1.5,40,1.0,-12.33,54,50,-2.81,-2.68,40.74,-3.09,19,17,1.0,-0.57,42.11,1.18,18,15,-4.39,-4.01,16.67,-4.4
