資料日期,代號,股票名稱,資料日收盤價,動態大戶級距(張),前週大戶比例(%),本週大戶比例(%),本週變化(百分點)
2016-11-11,2497,怡利電,40.271696,1000,56.640000,57.280000,0.640000
2016-11-11,4113,聯上,20.664356,1000,47.230000,47.870000,0.640000
2016-11-11,5469,瀚宇博,38.507473,1000,58.480000,59.120000,0.640000
2016-11-11,1338,廣華-KY,110.894385,800,56.230000,56.860000,0.630000
2016-11-11,4609,唐鋒,15.696556,1000,66.290000,66.920000,0.630000
2016-11-11,6285,啟碁,305.714990,200,81.370000,82.000000,0.630000
2016-11-11,2316,楠梓電,23.178035,1000,20.820000,21.430000,0.610000
2016-11-11,5471,松翰,73.711193,1000,36.300000,36.910000,0.610000
2016-11-11,2062,橋椿,66.182802,1000,55.510000,56.110000,0.600000
2016-11-11,5498,凱崴,9.470000,1000,56.870000,57.470000,0.600000
2016-11-11,1527,鑽全,160.757535,400,64.810000,65.400000,0.590000
2016-11-11,2442,新美齊,4.915603,1000,64.110000,64.700000,0.590000
2016-11-11,4533,協易機,21.869033,1000,43.080000,43.660000,0.580000
2016-11-11,5381,光譜,1.066400,1000,18.720000,19.290000,0.570000
2016-11-11,6438,迅得,,100,72.950000,73.520000,0.570000
2016-11-11,3380,明泰,37.135150,1000,62.570000,63.120000,0.550000
2016-11-11,2023,燁輝,22.082665,1000,70.510000,71.050000,0.540000
2016-11-11,1603,華電,15.050066,1000,74.200000,74.720000,0.520000
2016-11-11,3428,名稱待補,62.726771,1000,64.050000,64.570000,0.520000
2016-11-11,1460,宏遠,19.409703,1000,62.360000,62.870000,0.510000
2016-11-11,2359,所羅門,9.189026,1000,53.330000,53.830000,0.500000
2016-11-11,2537,聯上發,12.808883,1000,59.730000,60.230000,0.500000
2016-11-11,1416,廣豐,17.917414,1000,59.970000,60.460000,0.490000
2016-11-11,6015,宏遠證,6.950175,1000,39.380000,39.870000,0.490000
2016-11-11,9934,成霖,30.828086,1000,64.280000,64.770000,0.490000
2016-11-11,2444,兆勁,5.819976,1000,32.640000,33.120000,0.480000
2016-11-11,6107,名稱待補,89.855146,800,54.210000,54.690000,0.480000
2016-11-11,4429,名稱待補,28.668745,1000,41.040000,41.500000,0.460000
2016-11-11,5487,通泰,33.347710,1000,7.330000,7.790000,0.460000
2016-11-11,1737,臺鹽,35.035686,1000,65.510000,65.970000,0.460000
2016-11-11,8287,名稱待補,51.791462,1000,24.820000,25.270000,0.450000
2016-11-11,1712,興農,26.372381,1000,31.570000,32.010000,0.440000
2016-11-11,2239,英利-KY,175.915842,400,89.660000,90.100000,0.440000
2016-11-11,5452,佶優,13.580679,1000,44.840000,45.280000,0.440000
2016-11-11,2231,為升,618.861267,100,82.030000,82.460000,0.430000
2016-11-11,4126,太醫,133.940759,600,50.360000,50.790000,0.430000
2016-11-11,1337,再生-KY,33.673988,1000,44.640000,45.070000,0.430000
2016-11-11,5009,榮剛,29.300856,1000,32.940000,33.370000,0.430000
2016-11-11,6142,友勁,12.772936,1000,29.410000,29.830000,0.420000
2016-11-11,3150,鈺寶-創,,100,68.930000,69.350000,0.420000
2016-11-11,2636,台驊控股,40.757936,1000,33.360000,33.770000,0.410000
2016-11-11,3231,緯創,71.648270,1000,62.800000,63.210000,0.410000
2016-11-11,4160,訊聯基因,29.000000,1000,22.270000,22.680000,0.410000
