q,mean_fwd10,n,win%,feature
0,1.005661556062662,16752,51.30730659025788,margin_usage_level
1,1.1454043634625883,16736,52.652963671128106,margin_usage_level
2,1.0559326875081332,16753,50.50438727392109,margin_usage_level
3,0.9378725417335395,16730,49.169157202630004,margin_usage_level
4,0.6001276630331982,16730,48.00358637178721,margin_usage_level
