q,mean_fwd10,n,win%
0,0.8388156202170661,15658,48.61412696385234
1,0.555743716490846,15660,49.24010217113665
2,0.8600684663747947,15640,50.268542199488486
3,0.9742532114763388,15719,50.702970926903745
4,0.8662189461489727,15583,47.89835076686133
