date,code,ret_pct,vol_ratio,price_position_252,drawdown_20d,ret_5d,ret_20d,streak_down_days,is_limit_down,near_day_low,margin_chg5,close_px,shares,mktcap_e8,log_mktcap,log_liquidity,industry,market,breadth_severe,breadth_moderate,breadth_up_severe,fwd5_pct,fwd10_pct,fwd20_pct,year
2015-06-04,2390,-9.148936170212762,2.871272159167275,0.0,-30.342577487765077,-18.97533206831119,-31.46067415730336,4,0,1,-2.8900000000000006,21.35,192619442,41.124250867,3.7165979929196227,18.043015183981048,其他電子業,sii,21,179,3,-0.23419203747073736,13.583138173302078,27.400468384074927,2015
2015-06-04,2910,-8.944281524926678,1.8696893310852545,0.0,-29.35153583617748,-11.78977272727273,-28.865979381443296,2,0,1,-0.019999999999999997,31.05,175403000,54.4626315,3.997514805946039,13.947109008659629,貿易百貨,sii,21,179,3,-1.2882447665056418,-6.602254428341392,-5.6121723198079065,2015
2015-06-04,3016,-8.400000000000007,1.9725674252091916,0.0,-27.301587301587304,-12.260536398467448,-27.987421383647813,2,0,0,-2.780000000000001,11.45,288541819,33.0380382755,3.49765957266185,15.577878874563469,半導體業,sii,21,179,3,-10.043668122270732,-0.4366812227074024,7.423580786026229,2015
2015-06-04,4916,-10.000000000000009,3.4165605717472403,0.0,-26.530612244897956,-14.28571428571428,-27.896995708154513,5,1,1,-0.8299999999999983,25.2,123714073,31.175946396,3.439646848635392,16.126617491708124,電腦及週邊設備業,sii,21,179,3,-22.023809523809522,-14.484126984126988,-11.90972222222223,2015
2015-06-08,1538,-5.535714285714278,2.031763053964911,0.0,-32.61146496815286,-21.044776119402986,-31.741935483870964,5,0,1,0.0,5.29,32300000,1.70867,0.5357152901107275,13.64730649869734,電機機械,sii,22,90,9,3.2136105860113284,0.1890359168241762,2.457466918714557,2015
2015-06-08,2328,-9.83606557377048,1.7841451513640942,0.0,-29.30591259640102,-18.87905604719763,-23.184357541899423,7,1,1,-0.5899999999999999,13.75,518346282,71.272613775,4.266512155108167,17.876761498082168,電子零組件業,sii,22,90,9,-4.363636363636358,4.727272727272713,10.545454545454547,2015
2015-06-08,2390,-5.995203836930463,1.7565857858193066,0.0,-30.124777183600713,-24.32432432432432,-31.348511383537648,6,0,1,-4.170000000000002,19.6,192619442,37.753410632000005,3.6310758194814605,18.085017530783407,其他電子業,sii,22,90,9,22.44897959183674,20.663265306122437,37.49999999999998,2015
2015-06-08,2440,-4.370860927152309,1.725696856336804,0.0,-28.514851485148508,-17.767653758542135,-27.800000000000004,4,0,1,0.0,7.22,139117271,10.0442669662,2.30700202061156,12.312214405936835,電子零組件業,sii,22,90,9,-2.7700831024930928,-2.908587257617734,20.08310249307477,2015
2015-06-08,2614,-9.961190168175948,2.2798346800161564,0.0,-32.09756097560975,-22.752497225305213,-32.09756097560975,4,1,1,-5.780000000000001,6.96,327264946,22.777640241599997,3.1257793636103,17.176948288605555,其他,sii,22,90,9,-10.775862068965514,-4.310344827586199,-10.057471264367813,2015
2015-06-08,3362,-9.722222222222221,3.4283816438560195,0.0,-32.85123966942148,-25.458715596330272,-31.72268907563025,6,1,1,-4.23,16.25,147445475,23.9598896875,3.176381169209104,15.613961944616614,光電業,otc,22,90,9,7.0769230769230695,24.615384615384617,23.6923076923077,2015
