q,mean_fwd10,n,win%
0,0.3719381946901227,18555,50.191323093505794
1,0.5916407547489532,18555,47.981676098086766
2,0.5354719657821089,18555,47.092427917003505
3,0.8812281654442521,18555,49.57154405820533
4,2.008094193261181,18555,54.67528967933172
