quintile,count,mean,sample
0,173,6.338525599423367,train
1,166,8.555266121171293,train
2,175,8.856418534660616,train
3,175,12.27219060291451,train
4,156,13.010029991370189,train
0,79,11.758714424880907,test
1,79,12.647565642977955,test
2,78,13.374496996459152,test
3,83,12.702805460951437,test
4,75,14.957308010706125,test
