q,mean_fwd10,n,win%,feature
0,2.535824053853917,14915,57.11699631243714,margin_maint_ratio
1,0.34525896028901887,14914,50.382191229717044,margin_maint_ratio
2,0.3422554760138396,14915,50.26483405967147,margin_maint_ratio
3,0.5248778215092306,14914,48.01528764918868,margin_maint_ratio
4,0.9515181743988721,14915,47.03989272544418,margin_maint_ratio
