year,n,mean,win,sharpe,pf
2015,413.0,10.67,84.5,0.83,1.63
2016,41.0,10.31,78.05,1.01,3.8
2017,15.0,9.81,86.67,0.97,6.32
2018,156.0,7.32,73.08,0.64,1.79
2019,4.0,,,,
2020,1362.0,10.14,75.62,0.72,2.02
2021,132.0,10.39,85.61,0.96,1.81
2022,194.0,4.85,68.56,0.52,1.73
2023,6.0,3.7,83.33,0.78,1.76
2024,104.0,13.51,86.54,1.03,2.26
2025,1011.0,12.82,89.02,1.29,3.1
2026,45.0,2.82,55.56,0.22,1.42
