版本,GA收斂結果,結論
只用融資使用率「水位」(不看變化量),margin_usage_level_min 收斂到0(不設限),水位本身沒用
只用融資使用率「5日變化量」,margin_chg5_max 收斂到約 0.8~2.7 (要求下降),變化量有實質貢獻
