horizon,n,mean,win,sharpe,pf
1,2347,-2.4,36.86,-0.3,0.88
3,2347,-0.59,48.06,-0.05,0.94
5,2331,2.97,62.98,0.2,0.94
10,2322,2.78,56.03,0.14,1.16
20,2295,9.16,69.11,0.36,1.24
