date,code,event_ret_pct,vol_ratio,amount,avg_amt20,fwd1_pct,fwd3_pct,fwd5_pct,fwd10_pct,fwd20_pct,close_px,shares,mktcap_e8,cap_bucket,industry,market,in_disposal,streak,locked,year,liquidity_bucket,breadth_down,breadth_bucket
2015-06-03,3095,-9.86301369863014,3.088123206144159,113173438.0,37215089.8,-7.598784194528873,-11.854103343465038,-23.404255319148938,-28.267477203647406,-24.620060790273545,16.45,10000000,1.645,D_小型(<50億),通信網路業,otc,False,2,True,2015,5000萬-2億,8,4-10檔
2015-06-09,1783,-9.876543209876553,3.3753863483932087,19435050.0,7071223.25,4.337899543378998,8.675799086757996,11.415525114155244,25.799086757990874,15.525114155251153,21.9,89698115,19.643887184999997,D_小型(<50億),生技醫療業,sii,False,2,True,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,2375,-9.708737864077666,4.063928218304234,41891826.0,12329785.2,0.0,0.0,6.093189964157708,8.24372759856631,-6.093189964157708,13.95,108675334,15.160209092999999,D_小型(<50億),電子零組件業,sii,False,2,True,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,2614,-9.913793103448276,2.3607966546184347,52102022.0,30042721.3,6.2200956937799035,-2.7113237639553422,-0.31897926634768536,3.8277511961722466,-6.6985645933014375,6.27,327264946,20.519512114199998,D_小型(<50億),其他,sii,False,2,True,2015,5000萬-2億,195,30+檔(全面性恐慌)
2015-06-09,3149,-9.79381443298969,2.4226105155383637,53720595.0,26518966.15,1.7142857142857126,-2.000000000000013,-1.1428571428571344,-3.1428571428571472,-6.8571428571428505,17.5,226233604,39.5908807,D_小型(<50億),光電業,sii,False,2,True,2015,5000萬-2億,195,30+檔(全面性恐慌)
2015-06-09,3508,-9.824561403508769,3.601763153551548,19536275.0,6701986.85,5.447470817120625,16.731517509727635,12.840466926070038,15.175097276264605,39.29961089494163,12.85,104311737,13.4040582045,D_小型(<50億),其他電子業,otc,False,2,True,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,3591,-9.772727272727266,3.246292422572587,32097226.0,11472596.85,0.25188916876572875,-1.2594458438287104,-3.2745591939546737,1.76322418136019,4.030226700251882,19.85,145386835,28.8592867475,D_小型(<50億),光電業,sii,False,2,False,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,5251,-9.876543209876543,4.137484414835216,12831994.0,3471618.8,6.849315068493156,11.232876712328776,13.15068493150684,15.068493150684926,1.3698630136986356,36.5,33733377,12.312682605,D_小型(<50億),光電業,otc,False,2,False,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,8074,-9.95575221238938,6.236927538505809,19980562.0,3681418.4,5.159705159705141,5.405405405405395,3.1941031941031817,6.142506142506132,12.530712530712517,20.35,80974466,16.478303831,D_小型(<50億),電子零組件業,otc,False,2,True,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,8105,-9.914320685434507,2.408885247583268,27104195.0,13321067.25,2.1739130434782483,7.065217391304346,10.733695652173903,11.820652173913038,4.755434782608692,7.36,441544851,32.4977010336,D_小型(<50億),光電業,sii,False,2,True,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
2015-06-09,8171,-9.756097560975608,2.0749593214909825,9951902.0,5786821.9,4.86486486486486,9.72972972972974,3.3513513513513615,10.270270270270254,7.135135135135129,9.25,112853326,10.438932655,D_小型(<50億),綠能環保,otc,False,2,True,2015,<1000萬(極低),195,30+檔(全面性恐慌)
2015-06-09,8176,-9.921671018276756,2.6868473738008127,3459978.0,1508436.55,-6.521739130434789,-2.1739130434782705,-3.1884057971014568,15.217391304347828,8.405797101449286,6.9,71701000,4.947369,D_小型(<50億),通信網路業,otc,False,2,True,2015,<1000萬(極低),195,30+檔(全面性恐慌)
2015-06-09,8410,-9.591836734693882,4.377348370225342,10798166.0,2931183.2,4.288939051918739,2.934537246049662,2.483069977426644,8.12641083521446,2.031602708803626,22.15,36589200,8.1045078,D_小型(<50億),電腦及週邊設備業,otc,False,2,False,2015,1000萬-5000萬,195,30+檔(全面性恐慌)
