horizon,breadth_bucket,n,mean,win,sharpe,pf
10,1-3檔,2452,2.36,47.8,0.07,1.65
10,4-10檔,4898,0.89,49.0,0.06,1.23
10,10+檔(全面性),11831,4.05,64.8,0.34,1.31
20,1-3檔,2427,3.96,46.97,0.1,1.89
20,4-10檔,4830,2.2,50.17,0.09,1.39
20,10+檔(全面性),11830,8.56,71.82,0.51,1.71
