horizon,n,mean,win,sharpe,pf
1,1036,-0.52,45.37,-0.06,1.01
3,1025,2.92,61.46,0.27,1.22
5,1020,6.2,73.33,0.47,1.14
10,1018,6.19,66.8,0.41,1.47
20,1015,11.99,78.33,0.65,1.49
